"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"49eec307-b362-4272-ab03-4965e252c89a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Basement 4"
"961ba67b-7189-4a44-ade6-ca9c6c97207c","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 4","B4P01 - C1"
"57c9f4d8-880b-42a7-bd18-386ec5288231","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 4","B4P02 - C1"
"32d10c2f-fa20-4f78-8af6-edd3bb2fad86","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 4","B4P03 - C1"
"26f27d6d-8206-4e92-8eb3-7ed458918cf1","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 4","B4P04 - C1"
"cc96474a-171b-4c5d-b46e-715f496323f4","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 4","B4P05 - C1"
"b14eb691-477c-416f-8b3b-e6894a8f8a83","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Basement 4","B4P06 - C1"
