"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Building A",,"building a"
,,"Building A Canopy",,"building a canopy"
,,"Building B",,"building b"
,,"Building B Canopy",,"building b canopy"
,,"Building C",,"building c"
,,"Building C Canopy",,"building c canopy"
,,"Building D",,"building d"
,,"Building E",,"building e"
,,"Building F",,"building f"
,,"Building G",,"building g"
,,"Building H",,"building h"
,,"Building J",,"building j"
,,"Building K",,"building k"
,"Columns"
,,"Pre-Start",,"pre-start"
,,"Pre-Cladding",,"pre-cladding"
,,"Panel Installation",,"panel installation"
,,"Fixing details. ie fixings through ""WA & WB"" brackets.",,"fixing details. ie fixings through ""wa & wb"" brackets."
,,"Abutment fixings.ie fixings where panels meet surfaces other than panel.",,"abutment fixings.ie fixings where panels meet surfaces other than panel."
,,"Sealant",,"sealant"
,,"Clean Up",,"clean up"
,,"Final",,"final"
,,"Sign Off",,"sign off"

