"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f3d860e8-debf-4397-b64b-78c63fa63b53","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-001 - Subgrade Preparation"
"c67656ae-aa81-4f69-a33f-b23b0a560690","","checklist-sectioned","pass","ITP-001 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-001 - Subgrade Preparation","Lot 1 - Subgrade Preparation - 25/02/23 - CH373 to CH100"
"74a8f40d-c6f2-4bec-87da-c9510fb6b0e3","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-002 - Feeder Conduits and Pits "
"cef533ff-5eec-4bf3-9980-4e3c077689e6","","checklist-sectioned","pass","ITP-002 - Feeder Conduits and Pits Rev2","checklist","FALSE","FALSE","FHC-ITP-002 - Feeder Conduits and Pits ","Feeder Conduits and Pits  Lot 01 - 25/02/23 - CH373 to CH100 "
"a4dbb017-ebb2-4a77-b4bf-6fc9079fac09","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-004b - Class 2 CT Base Course Placement"
"6d6d20f9-866e-4405-af54-fe8d9ac1d329","","checklist-sectioned","pass","ITP-004b - Cement Treated Crush Rock Sub Base Rev2","checklist","FALSE","FALSE","FHC-ITP-004b - Class 2 CT Base Course Placement","Class 2 CT Base Course Placement Lot 01 - 25/02/23 - CH 373 to CH100"
"f7d96f89-d94d-4fe5-b0f8-7b951ed9bf40","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-006 - Track Placement"
"607759cb-80e9-4c94-a825-11bb28919839","","checklist-sectioned","pass","ITP-006 - Track Placement Rev3","checklist","FALSE","FALSE","FHC-ITP-006 - Track Placement","Track Placement Lot 01 - 26/02/23 - CH 373 to CH190"
"cb2737bb-568a-490d-97ac-51df0f601b9e","","checklist-sectioned","pass","ITP-006 - Track Placement Rev3","checklist","FALSE","FALSE","FHC-ITP-006 - Track Placement","Track Placement Lot 02 - 27/02/23 - CH 190 to CH100"
"8368559a-d710-4d8d-bdd2-0c9fe79759c6","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-007 - Concrete Track Slab Pour"
"646281e0-4c50-43f5-99a7-c8ea5d598ca1","","checklist-sectioned","pass","ITP-007 - Concrete Track Slab Pour Rev2","checklist","FALSE","FALSE","FHC-ITP-007 - Concrete Track Slab Pour","Concrete Track Slab Pour Lot 01 - 26/02/23 - CH 373 to CH198"
"9b984ccf-262d-4ff9-a7aa-af80b887f738","","checklist-sectioned","pass","ITP-007 - Concrete Track Slab Pour Rev2","checklist","FALSE","FALSE","FHC-ITP-007 - Concrete Track Slab Pour","Concrete Track Slab Pour Lot 02 - 27/02/23 - CH 198 to CH100"
"d028d76d-4624-490e-a1d9-33869c9028c4","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-008 - Hot Mix Asphalt Rev3"
"a3548ef7-ae3f-445b-b4c3-af2f0b4967aa","","checklist-sectioned","pass","ITP-008 - Hot Mix Asphalt Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Hot Mix Asphalt Rev3","ITP-008 Lot 03 - 28/02/23 - Hot Mix Asphalt 14H CH100 to CH360"
"4268a3c4-5104-4c73-9a9d-64b1dbec8f45","","checklist-sectioned","pass","ITP-008 - Hot Mix Asphalt Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Hot Mix Asphalt Rev3","ITP-008 Lot 02 - 27/02/23 - Hot Mix Asphalt 20SI CH220 to CH360"
"29df5188-1fa5-4f1a-a343-4f12db6b55a4","","checklist-sectioned","pass","ITP-008 - Hot Mix Asphalt Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Hot Mix Asphalt Rev3","ITP-008 Lot 01 - 26/02/23 - Hot Mix Asphalt 20SI CH100 to CH220"
"abfcd9a8-e226-424b-9f0e-eb077adae11f","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-019 - Line Marking"
"cbc4f41b-b537-4eb2-8eed-4294a64b6510","","checklist-sectioned","pass","ITP-019 - Line Marking Rev3","checklist","FALSE","FALSE","FHC-ITP-019 - Line Marking","Line Marking Lot 01 - 01/03/23 - CH 373 to CH100"
