resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
HRV,,checklist,,,,,,Concierge HRU 1.8,,,,,,,
HRV,,checklist,,,,,,Concierge HRU 1.9,,,,,,,
HRV,,checklist,,,,,,Library HRU 1.10,,,,,,,
HRV,,checklist,,,,,,Opposite Stairs HRU 1.11,,,,,,,
HRV,,checklist,,,,,,Servery HRU 1.12,,,,,,,
HRV,,checklist,,,,,,Servery HRU 1.13,,,,,,,
HRV,,checklist,,,,,,VC Dining HRU 1.14,,,,,,,
HRV,,checklist,,,,,,VC Dining HRU 1.15,,,,,,,
HRV,,checklist,,,,,,Activity Room HRU 1.16,,,,,,,
HRV,,checklist,,,,,,Activity Room HRU 1.17,,,,,,,
,,step,,,,,,Kitchen Riser KEF 1.1 (TBC),,,,,,,
,,step,,,,,Level 2, ,,,,,,,
B01 - Extract Fan,,checklist,,,,,,By Stairwell EF 2.1,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Storage EF 2.2,,,,,,,
B01 - Extract Fan,,checklist,,,,, ,Near Riser EF 2.3,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Storage EF 2.4,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Storage EF 2.5,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Opposite Stairs EF 2.6,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Storage EF 2.7,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Opposite Stairs EF 2.8,,,,,,,
B01 - SA Fan,,checklist,,,,,,End of Corridor SF2.1,,,,,,,
B01 - SA Fan,,checklist,,,,,,Opposite Stairs SF2.2,,,,,,,
B01 - SA Fan,,checklist,,,,,,Opposite Stairs SF2.3,,,,,,,
B01 - SA Fan,,checklist,,,,,,Opposite Stairs SF2.4,,,,,,,
HRV,,checklist,,,,,,Servery- Dining HRU 2.1,,,,,,,
HRV,,checklist,,,,,,Servery- Dining HRU 2.2,,,,,,,
,,step,,,,,Level 3 , ,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Opposite Stairs EF 3.1,,,,,,,
B01 - Extract Fan,,checklist,,,,, ,Beside Riser EF 3.2,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Storage EF 3.3,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Storage EF 3.4,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Opposite Stairs EF 3.5,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Storage EF 3.6,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Opposite Stairs EF 3.7,,,,,,,
B01 - SA Fan,,checklist,,,,,,End of Corridor SF 3.1,,,,,,,
B01 - SA Fan,,checklist,,,,,,Opposite Stairwell SF 3.2,,,,,,,
B01 - SA Fan,,checklist,,,,,,Opposite Stairwell SF 3.3,,,,,,,
B01 - SA Fan,,checklist,,,,,,Opposite Stairwell SF 3.4,,,,,,,
HRV,,checklist,,,,,,Servery- Dining HRU 3.1,,,,,,,
HRV,,checklist,,,,,,Servery- Dining HRU 3.2,,,,,,,
,,step,,,,,Level 4, ,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Opposite Stairs EF 4.1,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Opposite Stairs EF 4.2,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Corridor Junction EF 4.3,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Corridor Junction EF 4.4,,,,,,,
B01 - SA Fan,,checklist,,,,,,End of Corridor SF 4.1,,,,,,,
B01 - SA Fan,,checklist,,,,,,Opposite Stairwell SF 4.2,,,,,,,
B01 - SA Fan,,checklist,,,,,,Opposite Stairwell SF 4.3,,,,,,,
B01 - SA Fan,,checklist,,,,,,End of Corridor SF 4.4,,,,,,,
,,step,,,,,Level 5, ,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Roof EF 5.1,,,,,,,
B01 - Extract Fan,,checklist,,,,,,Roof EF 5.2,,,,,,,
,,step,,,,,,Roof KEF 5.1 (TBC),,,,,,,
