"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5cf37458-8d0a-447f-a5ba-4c267d3689d0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"4bc3dbf0-f25e-4605-bf69-af6ce9e1ce95","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C"
"ce08f1f7-c926-4a15-8fdf-ac91b177af66","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D"
"31d4294b-04d7-41f8-9f7e-b5573209be1f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation"
"339e35e7-c9fe-4cd2-a170-f8034c2c9710","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Ground"
"1654c34b-6e47-4230-9602-0a552c905c36","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Ground","Mechanical Installation Rough In & Fit Off ITPs"
"eddda33c-5ba2-4232-9364-807c71c585e3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Ground","Subcontractors"
"bda02145-1ccf-4c69-9844-511d0cc5e4ed","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 1"
"9d30b450-b49a-4b13-8e8f-a6e372f25bcc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 1","Mechanical Installation Rough In & Fit Off ITPs"
"881c9d74-85a6-4a31-be41-b2ba030ea055","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 1","Subcontractors"
"96f10feb-9580-42ef-a833-e57417b56446","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 2"
"349044d0-108c-401b-b6bc-d9d99f7d4f17","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 2","Mechanical Installation Rough In & Fit Off ITPs"
"02bc9162-de95-42e9-87f3-681a0a71482c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 2","Subcontractors"
"7894e0c3-1068-4f4d-864b-02e8670607fb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 3"
"47cff156-fde3-422d-ab39-d97210abbab9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 3","Mechanical Installation Rough In & Fit Off ITPs"
