type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Checklist (Basement - L1 Mezzanine/L3),,,,,,,
section,Details,,,,,,,
checkpoint,Set out and top track,,,,,,,
checkpoint,Install soffit insulation,,,,,,,
checkpoint,Frame walls/ceilings/door frames and install noggins,,,,,,,
checkpoint,Install speed panel/door frames and caulk,,,,,,,
checkpoint,Install insulation,,,,,,,
checkpoint,Sheet/stop and sand walls and ceilings,,,,,,,
checkpoint,Install skirting,,,,,,,
,,,,,,,,
checklist,Checklist (L2/L4 - L20),,,,,,,
section,Details,,,,,,,
checkpoint,Set out and top track,,,,,,,
checkpoint,Install soffit insulation,,,,,,,
checkpoint,Frame walls/ceilings/door frames and install noggins,,,,,,,
checkpoint,Install speed panel/door frames and caulk,,,,,,,
checkpoint,Install insulation,,,,,,,
checkpoint,Sheet/stop and sand walls and ceilings,,,,,,,
checkpoint,Install skirting,,,,,,,
checkpoint,Install tile ceiling grid/seismic braces/plaster margins and service tiles,,,,,,,
checkpoint,Install bulk tiles,,,,,,,
,,,,,,,,
checklist,Checklist (L21),,,,,,,
section,Details,,,,,,,
checkpoint,Set out and top track,,,,,,,
checkpoint,Frame walls/ceilings/door frames and install noggins,,,,,,,
checkpoint,Install speed panel/door frames and caulk,,,,,,,
checkpoint,Install insulation,,,,,,,
checkpoint,Sheet/stop and sand walls and ceilings,,,,,,,
