"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3a380c33-1862-440d-aec5-e7aaf540c476","","folder-normal","pass","","step","TRUE","FALSE","Basement 1"
"d11a2fb5-64c8-4804-8595-f1c15af2b2b4","","checklist-sectioned","pass","b0ef156eb3ea4239c29169dee4f52531b16b1793d940110bfd9f6b20d6c98a99","checklist","FALSE","FALSE","Basement 1","B1-C01"
"fbf41de2-45ef-4b8c-901f-43a413460619","","checklist-sectioned","pass","b0ef156eb3ea4239c29169dee4f52531b16b1793d940110bfd9f6b20d6c98a99","checklist","FALSE","FALSE","Basement 1","B1-C02"
"2ef47734-81dd-4e2b-a8dc-9517d5c15acf","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Basement 1","B1-C03"
"eef0ac12-c8cb-442b-b14e-bbce3aa6cd77","","checklist-sectioned","pass","b0ef156eb3ea4239c29169dee4f52531b16b1793d940110bfd9f6b20d6c98a99","checklist","FALSE","FALSE","Basement 1","B1-C04"
"cd211ef5-05bd-41bc-8c98-96c444d8f3d3","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Basement 1","B1-C05"
"d6cbff27-30c1-40d0-b4cb-984095f5100c","","checklist-sectioned","pass","b0ef156eb3ea4239c29169dee4f52531b16b1793d940110bfd9f6b20d6c98a99","checklist","FALSE","FALSE","Basement 1","B1-C06"
"14bda87d-3f9e-461b-99b5-e7bb80fd4efe","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Basement 1","B1-C07"
"23122955-f744-4096-beb9-d613fd93d1d5","","checklist-sectioned","pass","b0ef156eb3ea4239c29169dee4f52531b16b1793d940110bfd9f6b20d6c98a99","checklist","FALSE","FALSE","Basement 1","B1-C08"
"f95f32d7-811b-4102-8ae1-4ffec6c9d67f","","checklist-sectioned","pass","309d0a13e3bc6b8e37eb7b7f0619e5db831109b37654a329a2700d6eccdfde30","checklist","FALSE","FALSE","Basement 1","B1-C09"
"3ff9d816-d71f-4200-961e-fc53d8fd8240","","checklist-sectioned","pass","309d0a13e3bc6b8e37eb7b7f0619e5db831109b37654a329a2700d6eccdfde30","checklist","FALSE","FALSE","Basement 1","B1-C10"
"6188e6c7-ac02-4a4b-9f17-209f7533e77e","","checklist-sectioned","pass","b0ef156eb3ea4239c29169dee4f52531b16b1793d940110bfd9f6b20d6c98a99","checklist","FALSE","FALSE","Basement 1","B1-C11"
"5260f67f-2b7f-4c6a-b85f-1df28e055338","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Basement 1","B1-C12"
