"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c36395ad-ce7c-4e84-886d-a58ea79afb40","","work-in-progress","","folder","TRUE","FALSE","Raleigh Road Bus Lane"
"8c4906a4-b981-4214-9591-2e8745043f3f","","pass","","folder","TRUE","FALSE","Raleigh Road Bus Lane","Midblock 1"
"5731bef7-904e-40e6-85ac-40228f5d24f3","","pass","Raleigh Road Bus Lane - ITP - Civil Works","checklist","FALSE","FALSE","Raleigh Road Bus Lane","Midblock 1","ITP - Civil Works"
"e0fa218a-9ba6-4d41-90da-57af6892be45","","pass","Raleigh Road Bus Lane - ITP - Traffic Signal Ducting and Pole Erection","checklist","FALSE","FALSE","Raleigh Road Bus Lane","Midblock 1","ITP - Traffic Signal Ducting and Pole Erection"
"7c26c83e-1610-40d2-8719-49fe517442cc","","work-in-progress","","folder","TRUE","FALSE","Raleigh Road Bus Lane","Midblock 2"
"05b0277d-6f24-4057-a0ba-2c895a662c8c","","work-in-progress","Raleigh Road Bus Lane - ITP - Civil Works","checklist","FALSE","FALSE","Raleigh Road Bus Lane","Midblock 2","ITP - Civil Works"
"7edc7893-a84c-4e16-8b8b-09a07dea0123","","work-in-progress","Raleigh Road Bus Lane - ITP - Traffic Signal Ducting and Pole Erection","checklist","FALSE","FALSE","Raleigh Road Bus Lane","Midblock 2","ITP - Traffic Signal Ducting and Pole Erection"
"648a38a9-a8b1-4f23-ae1a-d6b3a30c6b57","","fail","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Training/Demo ITP"
"5849ccaa-c4d1-4f29-9383-c630303cf3f0","","work-in-progress","","folder","TRUE","FALSE","Manurewa Project"
"90f3be9c-5533-4577-a34d-6d9b183d54f5","","work-in-progress","","folder","TRUE","FALSE","Manurewa Project","McDivitt St/Mahia Rd"
"a3a2fd32-5e1d-491e-8e9d-5d3c2111def6","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","McDivitt St/Mahia Rd","ITP - Enabling Works - Footpath, Kerb and channel"
"13171293-a9d6-493c-b3ce-649b57bbcc8b","","work-in-progress","Graeme Ave - ITP - Stormwater Drainage","checklist","FALSE","FALSE","Manurewa Project","McDivitt St/Mahia Rd","ITP - Stormwater Drainage"
"1ac3e63c-e9de-4ea5-ba00-06b52dae0a59","","pass","","folder","TRUE","FALSE","Manurewa Project","Sykes Rd"
"c3c69459-799f-42ed-afa8-8a6798ea056a","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Sykes Rd","ITP - Enabling Works - Footpath, Kerb and channel"
"be938125-1202-4334-b3ce-4c584b79688c","","pass","","folder","TRUE","FALSE","Manurewa Project","Dr Pickering Ave (West)"
"7e2449f3-0f5f-419a-8908-608c5b1b88dc","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Dr Pickering Ave (West)","ITP - Enabling Works - Footpath, Kerb and channel"
"2e21107c-3a3a-4011-963b-91bac8f8f0d6","","pass","","folder","TRUE","FALSE","Manurewa Project","Mountfort St/O’Connell St"
"681bf5de-a5b8-4ce5-ac8a-a176522c2140","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Mountfort St/O’Connell St","ITP - Enabling Works - Footpath, Kerb and channel"
"d5f3e6ba-09b3-4640-8d9c-f5b9531394f7","","work-in-progress","","folder","TRUE","FALSE","Manurewa Project","Coxhead Rd/O’Connell St"
"70c606c9-1b2c-4725-8ae1-4e434614d3c9","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Coxhead Rd/O’Connell St","ITP - Enabling Works - Footpath, Kerb and channel"
"3c40223f-d133-4137-b8a0-8cf806c48878","","not-started","ITP - Willcott Street - Stormwater Drainage	","checklist","FALSE","FALSE","Manurewa Project","Coxhead Rd/O’Connell St","ITP - Stormwater Drainage"
"d52820b7-b3a1-43a3-becb-dc254853d5fc","","pass","","folder","TRUE","FALSE","Manurewa Project","Kirton Crescent"
"0db3a80a-3a7c-4d9b-bb62-9f198ae722fe","","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Kirton Crescent","ITP - Enabling Works - Footpath, Kerb and channel"
"b2d1184b-fd64-4297-85f6-e638a8e06747","","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","Manurewa Project","Kirton Crescent","ITP - Traffic Islands"
