"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8c386a6d-c87d-48f2-9d7c-1ed813dbb8d4","","folder-normal","fail","","step","FALSE","FALSE","Zone 1"
"3beed634-fa11-4f11-89db-8d2343eadac7","","folder-normal","fail","","step","TRUE","FALSE","Zone 1","Eastbound"
"6425aa4f-219c-47c7-9566-d7f4b90dfe64","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone 1","Eastbound","Utilities"
"3a23b95e-f700-41a2-a78b-82d1e5034171","","checklist-sectioned","pass","ITP - Shared Services Trench","checklist","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910"
"0180ae6a-7112-56f7-94c7-9c485034ed93","","checkpoint-group","pass","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Setout, Materials and Preparation"
"b32bae59-b559-5bd0-b51d-2c0b7fd203d7","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Setout, Materials and Preparation","100.1 - Method Statement Development / Job Safety & Environmental Analysis"
"15d82052-c7ee-57d2-84d8-a75a63a71de9","","holdpoint","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Setout, Materials and Preparation","HOLD POINT"
"7633fe04-a7e2-5059-827a-c1e9074c4168","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Setout, Materials and Preparation","100.2 - Drawings and Specifications"
"50901436-0c49-514d-b93d-d3a29f0f91a5","","holdpoint","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Setout, Materials and Preparation","HOLD POINT"
"3e0323b2-8a0e-5b4c-b95a-3e996f51f8c6","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Setout, Materials and Preparation","100.3 - Ducting / Piping"
"fff624e3-8fff-576e-9c9d-a997514f9320","","checkpoint-status","not-applicable","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Setout, Materials and Preparation","100.4 - Service Pits / Chambers"
"41740d56-fb16-5bd3-bafc-c0e147e3aecb","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Setout, Materials and Preparation","100.5 - Tape / Mag Slab"
"e84e1901-60d3-5b24-9e33-db672c18e6ca","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Setout, Materials and Preparation","100.6 - Survey Set Out"
"328f820d-e3e8-5dd5-a2c5-8476e79446d4","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Setout, Materials and Preparation","100.7 - Sediment Controls are in place for the particular section"
"e99eff8e-09d5-5dd9-b1fd-87abf9c5b01e","","checkpoint-group","pass","","","FALSE","FALSE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Construction and Finishing"
"6213234f-3051-5120-b753-518b57371e50","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Construction and Finishing","100.8 - Excavation of trench"
"1371fd82-094e-5514-a16e-395ae4a75cd7","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Construction and Finishing","100.9 - Installation of Ducts"
"9eb920c0-3e88-5c82-9aa8-a89e321bed69","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Construction and Finishing","100.10 - Installation of Ducts"
"c4b2b1ea-3fdb-58f0-8ecf-1ee14ac25077","","checkpoint-status","pass","","","TRUE","TRUE","Zone 1","Eastbound","Utilities","ITP - Shared Services Trench CH1890-1910","Construction and Finishing","100.11 - Installation of Ducts"
