"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"30263c2d-ebb1-4f75-adfe-35e104c76ce5","","folder-normal","","","step","TRUE","FALSE","Walloon"
"69d05441-b874-47ca-b4a0-ba4bf2f9a2d6","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","1"
"fa15c571-d922-4bd8-ba80-c870cb337d98","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","2"
"48a15799-6c94-4b56-8139-e66b9272dcf6","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","3"
"aca06e8e-1694-4d20-b24e-1cef6bce9c38","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","4"
"804c5114-044b-417a-bbde-a2789e13216e","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","5"
"602fe0ec-1815-4901-91f1-eaca4a8c171a","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","6"
"7a1d2672-2df3-4a61-896d-3cb0f43f47e2","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","7"
"1ba1dc6f-0f08-4a3f-baeb-63c8aefd5cf4","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","8"
"2382b503-89ff-44fb-9238-389de9d8181e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Walloon","9"
"85c28b29-8040-4b68-b851-1b07034ad1ca","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","10"
"4f2fc827-beb5-44f1-aec6-bfb55dbdacf2","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","11"
"2793f822-9f60-45fe-b316-5d820b4aa379","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Walloon","12"
