"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Balustrade Progress"
,"Scope",,
,"Rows"
,,"Staircase 1","dynamic","staircase 1","site qa","b04"
,,"Staircase 2","dynamic","staircase 2","site qa","b04"
,,"Staircase 3","dynamic","staircase 3","site qa","b04"
,"Columns"
,,"Balustrade / Handrail height is compliant",,"balustrade / handrail height is compliant"
,,"No Gaps Larger than 100 mm",,"no gaps larger than 100 mm"
,,"Allnuts done up",,"allnuts done up"
,,"Endcaps in place",,"endcaps in place"
,,"All Touch ups complete",,"all touch ups complete"

