resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,step,,,Building B08,,,,,,,,
,,,step,,,,Site QA,,,,,,,
,,,step,,,,,Level 2,,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,B69-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,B69-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,B70-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,B70-2,,,,,
,,,step,,,,,Level 3,,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C69-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C69-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C70-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C70-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C71-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C71-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C72,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C73,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C74,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C75,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C76,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C77,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C78-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C78-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C79-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C79-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C80,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C81,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C82,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C83,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C84-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C84-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C84-3,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C85-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C85-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C86-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C86-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C86-3,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C87-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,C87-2,,,,,
,,,step,,,,,Level 4,,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D69-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D69-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D70-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D70-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D71-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D71-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D72,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D73,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D74,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D75,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D76,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D77,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D78-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D78-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D79-1,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D79-2,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D80,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D81,,,,,
FC - S - Balustrades Installation,,,checklist,,,,,,D82,,,,,
