"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"External Works Progress"
,"Scope",,
,"Rows"
,,"External Walls Ground Floor","grouping","external walls ground floor","external framing"
,,"Stage 1","dynamic","external walls ground floor","external framing"
,,"Stage 2","dynamic","external walls ground floor","external framing"
,,"Stage 3","dynamic","external walls ground floor","external framing"
,,"External Walls First Floor","grouping","external walls ground floor","external framing"
,,"Stage 1","dynamic","external walls ground floor","external framing"
,,"Stage 2","dynamic","external walls ground floor","external framing"
,,"Stage 3","dynamic","external walls ground floor","external framing"
,"Columns"
,,"External Framing ( Pre Weatherline )",,"external framing ( post weatherline )"
,,"External Framing ( Post Weatherline )",,"external framing ( post weatherline )"

