type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-sectioned,QA - Aliclad,,,,,Yes,QA - Aliclad,114ceb33-6265-442a-b279-4bee15d0c560
checkpoint-group,Pre-start,,,,,,,
checkpoint-status,Cavity system signed off by MAIN CONTRACTOR and is suitable for install,,,,,,,
checkpoint-status,Check structure layout provides adequate fixing points to be able to meet the requirements of the PS1/drawings,,,,,,,
checkpoint-status,Check joinery and abutments for alignment,,,,,,,
checkpoint-status,Check building wrap/RAB/insulation/siderise for defects & Window head flashings for vaproshield,,,,,,,
checkpoint-status,Seal stopend of window head flashing to the jamb flashing (aliclad windows only). Seal window sill flashing stopends,,,,,,,
checkpoint-status,"Check presence and correct fitment of any other preliminary/critical elements, such as penetrations",,,,,,,
checkpoint-group,Aliclad Cladding Installation,,,,,,,
checkpoint-status,Vermin and interstory flashings installed (if required),,,,,,,
checkpoint-status,Naideck tape applied to gib/wrap at all fixing locations,,,,,,,
checkpoint-status,Panels are correct colour and size for location,,,,,,,
checkpoint-status,"Panels scratch and defect free, any cut edges deburred",,,,,,,
checkpoint-status,Aliclad finishing trims/caps installed,,,,,,,
checkpoint-status,Aliclad cleaned,,,,,,,
,,,,,,,,
checklist-sectioned,QA - Window Flashings,,,,,Yes,QA - Window Flashings,64dfd62e-a017-46ec-899d-ec6e6d3d9b4e
checkpoint-group,Pre-start,,,,,,,
checkpoint-status,"Window installed, rylock head-flashing installed with end dams",,,,,,,
checkpoint-status,Brick Shelf angle installed (brick windows only),,,,,,,
checkpoint-status,Check building wrap/RAB for defects,,,,,,,
checkpoint-group,Pre-cladding installation,,,,,,,
checkpoint-status,"Support angles installed - 100x50 for brick, 50x50 for Aliclad areas",,,,,,,
checkpoint-status,Flashings installed as per design,,,,,,,
checkpoint-status,Flashings sealed and cleaned,,,,,,,
