"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e994e6a4-5178-4762-9fa3-6871145b75ca","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jobbo"
"036b3501-7ebc-4a02-acaa-8c5852944f10","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Josh"
"c4a80018-d548-4ab1-b4f6-d531ddccc52e","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jules"
"5ce32c93-81d4-4544-af48-264242663c59","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jake"
"7fa9a372-4834-4ecb-a5ce-95ccc6792635","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jack B"
"1bac1625-d1ad-4568-ba2c-ac221f3e0734","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jack W"
"2b7ec2ea-5443-4753-82d9-c660407e16c5","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Joe"
"db64cfa5-0300-48a6-b0bd-306aac609305","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jez"
"72413b8c-316a-4d8a-91f2-1d25fa64aec4","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Joel M"
"e1c72542-611f-4067-a0b1-d26cafe94165","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Kirk"
"ebe33dcb-e4ad-4fa8-8cf8-210837f14f42","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Kyle"
"b73709fd-4fcb-49f3-b33a-2c63fc8c9874","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Marc"
"3797c9f7-9558-4282-9e36-a6fe54a30419","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Mark"
"9e30090d-65af-4f98-8c26-9a281a4ec165","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Mick W"
"b1bef1e3-3f0b-46be-9fea-de2f55a62c1b","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Martin"
"e8b6468b-3f0e-4d30-a0e4-eaa8d6f970e0","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Matt (Bill)"
"dea79f86-5af0-40cf-bc75-017174899ca3","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Nathan K"
"b3927277-66ba-4d40-aeec-ede2fea7607c","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Nathan M"
"beb8987c-ca83-43dc-8565-5234fa2fc1ec","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Neil"
"cc19f040-1faa-4e6d-8880-e8f8a1543304","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Paul M"
"149b8793-a0ba-4d06-84d7-0b79c3bfcb05","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Pat"
"0aa7daa1-c7ac-446d-bff9-a95d454abbe9","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Rosco"
"a9707e80-ea89-427c-b55e-aaace0e58632","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Scottie"
"522d082a-827a-4102-9a98-f520d2b04518","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Simon"
"c38fed74-f48e-4323-a69f-9fbf2a21ebdc","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Shawy"
"fd29a42d-661f-4e82-8743-5516d57775f1","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Slamma"
"ecca9bc6-dbac-4335-a022-a5b38807015c","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Trev B"
