"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"249d4d0e-d319-49f1-b005-31efffe9258c","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"96071ec2-8b54-4053-aed3-15f368f902ef","","work-in-progress","","folder","TRUE","FALSE","Site QA","ULG01 - UG04"
"bbf8b3c2-d827-439d-ae9f-43420d491eef","","not-started","Floor Plan","checklist","FALSE","FALSE","Site QA","ULG01 - UG04","Floor Plan"
"8c7ab6f0-b4f2-491b-b8c1-77ac98d074f6","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","ULG01 - UG04","ULG01"
"25257370-0af8-4190-81c4-54602ce2db83","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","ULG01 - UG04","UG01"
"4226037d-93ee-4a68-b3be-cfa30146da4c","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","ULG01 - UG04","UG02"
"9320028a-a684-4d11-8cd1-4b92e9a50f5c","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","ULG01 - UG04","UG03"
"80eb5a65-2f15-4cc9-bae4-d1b640c8410a","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","ULG01 - UG04","UG04"
"2ee9f30a-3100-43e3-83d1-9030cc4d4502","","work-in-progress","","folder","TRUE","FALSE","Site QA","UG06 - U102"
"e20be0c7-6edc-4963-bf94-b7e4172c2e9c","","not-started","Floor Plan","checklist","FALSE","FALSE","Site QA","UG06 - U102","Floor Plan"
"e4c7e1e4-6145-4ffb-bb7e-fcd9ce909ed9","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","UG06 - U102","UG06"
"e544e966-a97c-4254-b23d-a5fc8a2ea140","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","UG06 - U102","UG07"
"b50c49b6-ea2a-46b2-b6a6-6318eeb1830a","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","UG06 - U102","UG08"
"581c7bad-f67d-4918-b487-454bac4d81d5","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","UG06 - U102","U101"
"2dfc615a-777f-4c8b-bdef-3554ba1360bb","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","UG06 - U102","U102"
"4253dbb6-5d0e-4bc7-9101-b83596094e2a","","work-in-progress","","folder","TRUE","FALSE","Site QA","U103 - U204"
"cb8cbc69-ae33-424c-a791-010e9d9f407f","","not-started","Floor Plan","checklist","FALSE","FALSE","Site QA","U103 - U204","Floor Plan"
"1f502ff0-e815-4095-a4f7-8c957f2c8f3a","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","U103 - U204","U103"
"543aaaa7-7af0-423d-9c71-25ec9e95b2fd","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","U103 - U204","U104"
"17c58c9c-0e63-4dc2-967c-faf15a2df985","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","U103 - U204","U105"
"6f9a9f97-62f3-42be-8f30-c9b45d2e3d2e","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","U103 - U204","U106"
"e4ed6c80-2b86-4407-bcb8-c88ddff0e3b9","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","U103 - U204","U107"
"2193bef1-d138-4878-bb29-ea7a1eb5a192","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","U103 - U204","U108"
"0004b191-13c1-40d1-bae3-3a5b677ecd9b","","work-in-progress","Window Checklist","checklist","FALSE","FALSE","Site QA","U103 - U204","U109"
"27548f56-7053-422e-8473-53cbf1860276","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U103 - U204","U201"
"44bc406b-fbde-494d-8815-1b4fca8a8e2f","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U103 - U204","U202"
"bdce3e0c-1aa7-4f58-a1f2-92e881b0047a","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U103 - U204","U203"
"82d5152b-3508-458b-b691-97298267b513","","not-started","Window Checklist","checklist","FALSE","FALSE","Site QA","U103 - U204","U204"
