"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"07dfa842-79bc-439d-8f65-62363393baa1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"4579f1d1-2e6f-494f-96cb-e07f1aa768b6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground"
"60c5b10b-ff53-4cd0-b696-46c00962c570","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Ground","Brackets"
"984de1e9-f343-46f6-9088-70ade1802252","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Ground","Panels"
"e37205f8-eda5-41d6-90f0-c972483d5d04","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Ground","Smoke Seal"
"70cdb47c-d085-46ac-8df4-30172ad512a5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 1"
"472b2f23-0140-42ce-bc88-3b04ef01ed5f","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Brackets"
"458208de-4ce0-448c-a989-8a1430dd4a62","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Panels"
"cc189f7b-a054-47e3-8ce7-df4779f62d83","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Smoke Seal"
"6018dc5e-024d-40fb-a495-26ad07ae5696","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 2"
"b2a3eb75-cd0f-4c67-b95f-6315d70638b0","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Brackets"
"bcbec3e1-2d4c-44ba-90bd-d48482be7341","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Panels"
"6074410b-f23c-4896-9d7b-0106e514c6d1","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Smoke Seal"
"5800efa4-ab05-45ec-b3c0-4e342710e099","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 3"
"e18c41e6-9a63-43c2-b6ba-c2823e5dae6a","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Brackets"
"9655d6ff-c45e-4aa1-b2a1-e4fb644f05b8","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Panels"
"2d855fbd-4eed-45a3-b2c6-5fdebe10c4c9","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Smoke Seal"
"ee3a09e0-702a-4f20-a8b3-e691ae7179fc","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 4"
"15d9d2a8-f952-4636-9a9c-d91ebdd29e8c","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Brackets"
"af04cf88-9630-473c-85ed-977e99a32c23","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Panels"
"faff200e-d26c-4bbe-8f89-87d33f3ec8f5","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Smoke Seal"
