"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"381f959a-3c64-4cb9-8788-3f920051232e","","checklist-sectioned","pass","8c3a09f01cf19fb82941c6a6050878253607f407ac911890f6ad162a959e4695","checklist","FALSE","FALSE","Steel & Shotcrete ITP TEST "
"558cabe8-0183-4806-8871-9949c30dea62","","folder-normal","work-in-progress","","step","TRUE","FALSE","11.11.2023"
"7f447622-8904-44ad-8398-acbd1d89dab8","","checklist-sectioned","work-in-progress","8c3a09f01cf19fb82941c6a6050878253607f407ac911890f6ad162a959e4695","checklist","FALSE","FALSE","11.11.2023","Steel & Shotcrete ITP"
"15d21724-b37e-4ef0-b86b-47b4e8422f06","","folder-normal","work-in-progress","","step","TRUE","FALSE","13.11.2023"
"1e92b244-1199-46fd-a703-02839e2fc913","","checklist-sectioned","work-in-progress","8c3a09f01cf19fb82941c6a6050878253607f407ac911890f6ad162a959e4695","checklist","FALSE","FALSE","13.11.2023","Steel & Shotcrete ITP"
"087d1ccd-9ecd-4ff5-8271-0c334691db75","","checklist-sectioned","work-in-progress","Steel & Shotcrete ITP","checklist","FALSE","FALSE","Steel & Shotcrete ITP"
