"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f501024e-943c-55fb-901f-36003bea318e","","folder-normal","work-in-progress","","step","TRUE","FALSE","HS panels"
"74c2411f-e5c1-5d5b-8c2c-5bf5b6b5ad38","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 02"
"0d052c94-7ef6-5acf-8a18-1557d5eaea43","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 12"
"88b93ecb-49f3-501d-8cd7-3da369a3c3e1","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 13"
"8f6c4155-cf6d-57a6-8db9-8bfd127885c3","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 03"
"b4d248a1-f667-56c3-9346-e3c955b047a0","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 03"
"77b7d97b-864c-5c0d-b654-fe7436180326","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 01"
"3b8923e6-1a8a-54b6-b567-3deeacd4a469","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 05"
"c08e962e-9d97-56f8-9590-40cbd6306864","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 06"
"1eba2107-2311-5aab-9017-e7c075b49444","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 07"
"4c979fc4-89ed-5823-8bbc-c25a03b71f77","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 19"
"e0e599ab-2455-518a-b05f-e66e0ecdcc6c","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 20"
"cbab2be3-ac6f-5230-b74c-5b77028a7439","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 08"
"f063cefd-0232-59af-a579-caf40a749c3f","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 09"
"883613f1-54e8-5f43-8c3a-5d1e55eb10dd","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 10"
"b811a91a-43e2-5195-906d-9396c707fc48","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 11"
"c0bf4a0d-6f87-5690-966d-00974c8760ae","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 14"
"6061d1d2-868d-5579-b918-99717cb5d9a3","","checklist-sectioned","work-in-progress","0516a402d934ee3f803a67bf816dcd7fa382884ddd68586700c5214e6d3a0112","checklist","FALSE","FALSE","HS panels","HS 46"
