resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4
SYS - PT - Job Details,checklist-flat,FALSE,FALSE,Job Details,,,
,folder-normal,TRUE,FALSE,Manufacturing QA,,,
,folder-normal,TRUE,FALSE,Manufacturing QA,Rename to unit type,,
SYS - PT - Compliance Documentation,checklist-flat,FALSE,FALSE,Compliance Documentation,,,
