type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-sectioned,Precast QA,,,,,Yes,Precast QA,d524df10-d5ab-4096-9a8a-ee8eec264e68
checkpoint-group,Drawing,,,,,,,
checkpoint-status,Revision No - Attach photo of drawing below &/Or input details,,,,,,,
checkpoint-group,Panel Properties,,,,,,,
checkpoint-status,Properties - Pass once entered,,,,,,,
text,Panel width,,,,,,,
text,Panel height,,,,,,,
text,Panel thickness,,,,,,,
text,Panel weight,,,,,,,
text,Panel area,,,,,,,
text,Concrete MpA,,,,,,,
text,Lifters,,,,,,,
text,Cast Date,,,,,,,
checkpoint-group,Formwork,,,,,,,
checkpoint-status,Correct Dimensions & Square,,,,,,,
checkpoint-status,Grout tube set out,,,,,,,
checkpoint-status,Magnets Locked Down,,,,,,,
checkpoint-status,Fillet Installed,,,,,,,
checkpoint-status,ID TAG Installed (photo required),,,,,,,
checkpoint-status,Starter bars & couplers (photo required),,,,,,,
checkpoint-group,Reinforcement,,,,,,,
checkpoint-status,Correct Mesh/Cage (photo required),,,,,,,
checkpoint-status,Correct Lig Spacing/Mesh Centers,,,,,,,
checkpoint-status,Correct Cover,,,,,,,
checkpoint-status,Lifter location & Type Correct (photo required),,,,,,,
checkpoint-status,Starter bars & couplers (photo required),,,,,,,
checkpoint-status,Strongbacks installed - If required,,,,,,,
checkpoint-status,Engineer Shop Drawings attached - (photo required),,,,,,,
checkpoint-status,Ferrues Installed - (photo required),,,,,,,
checkpoint-group,Concrete,,,,,,,
checkpoint-status,mPA Correct -> Concrete Docket - (photo required),,,,,,,
checkpoint-status,Concrete Test,,,,,,,
checkpoint-status,Concrete Test Report - (photo required),,,,,,,
checkpoint-group,Post Pour,,,,,,,
checkpoint-status,Ferrules exposed,,,,,,,
checkpoint-status,Grout Tubes Open,,,,,,,
checkpoint-status,Lifters installed central to panel,,,,,,,
checkpoint-status,Lifters Cleaned,,,,,,,
checkpoint-status,Patching required - Pass=No / Fail=Yes,,,,,,,
checkpoint-status,ID TAG filled out and correct,,,,,,,
checkpoint-status,Strongbacks installed - (photo required),,,,,,,
checkpoint-status,Chamfers Installed,,,,,,,
checkpoint-status,Panels QA sticker completed,,,,,,,
checkpoint-status,"Panel ready for delivery, damage free",,,,,,,
checkpoint-status,Panel loaded on to truck - photo required,,,,,,,
