"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"16a2782d-ee4f-4d33-b468-deb50ecda756","","folder-normal","work-in-progress","","step","TRUE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks"
"c364ebaa-93cb-47fa-a460-4a4456016739","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-001 - CWA 112"
"991c73ee-7bef-4b6c-b77f-c73347e9f1e1","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-002 - CWA 211"
"71a7c8a5-21fd-4e9b-8fc4-db8e19abc04e","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-003 - CWA 111"
"153cccc8-e424-419e-9af8-7fd215cc748f","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-004 - CWA 115"
"4cea71da-f33c-444a-aa25-9c68e9bec8e2","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-005 - CWA 113"
"056b3319-fd9b-4b44-b860-935c00c6f0f1","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-006 - CWA 114"
"712a7704-72cd-46e7-922a-c3516d45d690","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-001 - Cooling Water Tower"
"ec999a82-d8e9-4307-9556-0e5101a16519","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-002 - R5401/C5401"
"334f911d-5b98-4d43-b84b-0318c5fdf435","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-003 - C5402/C5404"
"6fd34fc2-c748-4218-8e9f-0734ad2e1241","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-004 - PAU01"
"0134062f-6571-441f-9a1f-30e5a6a5495d","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-005 - PAU02"
"556df095-519c-4611-9f1d-89ad02068b63","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-006 - PAU03"
"f9ca61ce-fa49-4580-a5ae-d13fbb0d2f12","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-007 - CWT Stair Case"
"787cfa0a-5892-4612-a132-59e624f055f2","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-008 - PAR01"
"6044d70c-12a6-4252-8531-e583a74aca16","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-009 - PAR02"
"e37b280e-5fa4-4714-b422-69678488180b","","checklist-sectioned","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-010 - POC54"
