Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Stage 1,,,,,,
,Scope,,,,,
,Rows,,,,,
,,B1,dynamic,b1,Site QA,Stage 1
,,Lower Ground,dynamic,lower ground,Site QA,Stage 1
,,Upper Ground,dynamic,upper ground,Site QA,Stage 1
,,Level 1,dynamic,level 1,Site QA,Stage 1
,,Level 2,dynamic,level 2,Site QA,Stage 1
,,Level 3,dynamic,level 3,Site QA,Stage 1
,Columns,,,,,
,,Set Out,,set out,,
,,Fan,,fan,,
,,Electrical,,electrical,,
,,Fan Insulation,,fan insulation,,
,,Controls.,,controls.,,
,,Labelling.,,labelling.,,
,,Installation,,installation,,
,,Ductwork.,,ductwork.,,
,,Refrigeration Lines,,refrigeration lines,,
,,Drain Line,,drain line,,
,,,,,,
Stage 2,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Lower Ground,dynamic,lower ground,Site QA,Stage 2
,,Upper Ground,dynamic,upper ground,Site QA,Stage 2
,,Level 1,dynamic,level 1,Site QA,Stage 2
,,Level 2,dynamic,level 2,Site QA,Stage 2
,,Level 3,dynamic,level 3,Site QA,Stage 2
,Columns,,,,,
,,Set Out,,set out,,
,,Fan,,fan,,
,,Electrical,,electrical,,
,,Fan Insulation,,fan insulation,,
,,Controls.,,controls.,,
,,Labelling.,,labelling.,,
,,Installation,,installation,,
,,Ductwork.,,ductwork.,,
,,Refrigeration Lines,,refrigeration lines,,
,,Drain Line,,drain line,,
