"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6d8016be-169b-4248-b00e-7c7d20b7dc0e","","folder-normal","work-in-progress","","step","TRUE","FALSE","ITP 006 - In-Situ Pit Construction"
"03e7cd0e-db30-4a49-a1db-6bfb2342c456","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","ITP 006 - In-Situ Pit Construction"," Receival Inspections"
"bdeb3b16-a05a-472a-943b-5253a8c3fea9","Unsupported Children: checkpoint-no-status Details(65cbbd0c-0176-4545-9ea5-337af34d9683)
Child Details(65cbbd0c-0176-4545-9ea5-337af34d9683): checkpoint-no-status must be display normal but was flat","checklist-sectioned","pass","adb9aefe83121ed363f30040c6abbe30569846d51fca4fde6f12752827bcb534","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction"," Receival Inspections","ITP 099 Receival Inspections - Wire Ind. Reo 23/09"
"39803a3b-6243-4572-859d-d5fc76f36875","Unsupported Children: checkpoint-no-status Details(a1511415-bcc8-46ab-959c-4236a7d2e4af)
Child Details(a1511415-bcc8-46ab-959c-4236a7d2e4af): checkpoint-no-status must be display normal but was flat","checklist-sectioned","pass","adb9aefe83121ed363f30040c6abbe30569846d51fca4fde6f12752827bcb534","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction"," Receival Inspections","ITP 099 Receival Inspections - Gatic Pit Lids - 25/09/19"
"18a80b04-1633-4b9c-9021-0a2e61b70d62","","checklist-flat","work-in-progress","9d6d3e68787b41fb5557e974d26408e3337efbfc04a898eea7876d43346c5b5c","checklist-flat","FALSE","FALSE","ITP 006 - In-Situ Pit Construction"," Receival Inspections","ITP 099 Receival Inspections - Gatic Pit Lids - 29/11/19"
"beb38208-7c5d-45da-bd85-a473981bfa0c","","checklist-flat","work-in-progress","9d6d3e68787b41fb5557e974d26408e3337efbfc04a898eea7876d43346c5b5c","checklist-flat","FALSE","FALSE","ITP 006 - In-Situ Pit Construction"," Receival Inspections","ITP 099 Receival Inspections - Gatic Pit Lids - 03/12/19"
"583cbe0c-e92d-4be5-80dd-3bd3df42def9","","checklist-flat","work-in-progress","9d6d3e68787b41fb5557e974d26408e3337efbfc04a898eea7876d43346c5b5c","checklist-flat","FALSE","FALSE","ITP 006 - In-Situ Pit Construction"," Receival Inspections","ITP 099 Receival Inspections - Wire Industries - 03/12/19"
"dfe6a8ee-c42a-4f5e-acd7-b05da5cdb06f","","checklist-flat","work-in-progress","9d6d3e68787b41fb5557e974d26408e3337efbfc04a898eea7876d43346c5b5c","checklist-flat","FALSE","FALSE","ITP 006 - In-Situ Pit Construction"," Receival Inspections","ITP 099 Receival Inspections - Parchem - 13/12/19"
"10d231be-7c55-480f-8881-3e22bf8274b0","","checklist-sectioned","pass","56c5df3c576990f1ccc0b85240a2fcf8e25a1d7bfa7118a1c5794c06a0a03669","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-001-PR4.3"
"0a708b84-23d1-4944-9429-be06e314bc52","","checklist-sectioned","pass","ab338c277f4dc591bd4023ae4b58d438ca2630ea5f5aa3bbfab2d8b0a8336de0","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-002-PR4.2"
"9ba84438-e8bb-486b-9785-e34a77295be3","","checklist-sectioned","pass","a61eb3e04fbcb85acdaf5255ef81c64b4304fd9c1855e6a8c10347c538fa6f93","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-003-EP061"
"88e86c56-159f-4f92-a80d-0fbe7ca8bb93","","checklist-sectioned","pass","18bd81ae5654742afaa81c96f02e619348d0c244a81d5f635ef83741cd29e0da","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-004-EP062"
"d4a59d1d-91f8-4038-92b8-29517ea9a8a3","","checklist-sectioned","pass","7a1e9228a90d3be0e3dbaa4f94ff4f7fed8ad45c97c637d4fac5cdc243761f6f","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-005-CP025"
"afaba535-7701-47dc-9f57-731a29c345e3","","checklist-sectioned","pass","1f8bd571dcebd1c7843b3ed2a8b4a8041c67496ef9ef4f64b7c42b8541a6a3a0","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-006-Ep087"
"caa9f80b-9e6e-47ec-8605-90a9c5dc7c32","","checklist-sectioned","pass","aac5c215aa56b02bb01028eb1a526dd7ac3112e1d1d478c239af9e55e56782cd","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-007-PR1.4a"
"15ec664e-6a8c-45b3-9fd6-1d5bead73769","","checklist-sectioned","pass","ab64c42280b45823bd4d9ba6badc78b6591aa355988791d2df0549f92b5c1348","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-008 - PR1.4"
"1346dd36-025d-4999-a89b-d6fb66e3621c","","checklist-sectioned","pass","eac8fab7b2402a1f9113ecfe80cabc5006b80dd94e6eebdb5ac12f21f8b356e8","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-009 - EP084"
"c048da1f-8ee2-4de6-845e-a21a5254b933","","checklist-sectioned","pass","194a59b3ccdf7c70ce127d4e10891e32f48d02221cafca525500adac84533e76","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-010 - EP085"
"3d27fb5b-6743-476e-8874-3d8a0cbcaab5","","checklist-sectioned","pass","f5f35d785b8e1805219848b4e0479078c79f717c2d600768291fcb22d1cf5fcd","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-011 - EP086"
"50383eee-4ab0-436f-b504-c833e2105d11","","checklist-sectioned","pass","36ef745c23b4d5a8c879171ca9bbb37052f28c84357fd247dce097300a94f064","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","ZULU-06-012 - CP024"
"7cfead6b-3684-46c6-b7df-82f16ddcf0ef","","checklist-sectioned","pass","1487ce4f5f19caeeed82c63725f58c93190ad18d2ddc6e070301a38fae8cecd7","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-013 - PR7.2"
"dde41b1d-3afd-40b2-ba26-5c16b78abf4f","","checklist-sectioned","pass","8839034aa971e83d5cf71dfc52a436bf2bcbb990d431ebf11c9dd53d7fb5c708","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-014 - EP060"
"3059004a-3256-439c-b084-d28e809d0699","","checklist-sectioned","pass","8400cf820f9708b9c1ddced4f99a4edfb30a0ea06870c390e56fa0461c3e28f8","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-015 - PR1.5"
"87c215eb-08f4-478d-9e5a-47e037d58749","","checklist-sectioned","pass","ecea72e601391b565471c0327e7e1c1e5be1e8b3ff892e03463100ecee414902","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-016 - EP137"
"352d4d69-7e26-4719-8e0a-14590b40fe51","","checklist-sectioned","pass","ad42362067c89eb51342dd96dbb712dc3aa96a9fd3573ed623a4d65637bf5345","checklist","FALSE","FALSE","ITP 006 - In-Situ Pit Construction","Zulu-06-017 - EP136"
