"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"79a84e2b-0c8e-4dee-bff7-5fe88c118794","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"5ad2258a-23ed-4537-8b7b-e8cdd2ada36c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Material Approvals"
"c5a63287-02f4-4cf3-9232-b46faa687d97","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Material Approvals","Aggregates"
"25a8f20f-0c23-4eb8-b8f9-77b4522b755d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Material Approvals","Concrete Mix Designs"
"26bf32dc-d495-448a-a2b8-a5b13374f9a6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Material Approvals","Asphalt Mix Designs"
"a47847b4-f0de-428e-9f7a-fc4d04ee75fa","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Material Approvals","Drainage Materials"
"8623c9a2-47f8-4471-ab61-447087433f7f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Material Approvals","Earthworks"
"733b4d41-89eb-434d-bb82-4170901757f3","","work-in-progress","","folder","TRUE","FALSE","Site QA","MRAB"
"7657746a-5f59-4b27-83f7-bfda18831200","","no-status-not-started","","folder","TRUE","FALSE","Site QA","MRAB","Drainage"
"3b09bfd2-f616-401d-a4fa-fa22efbdaf9a","","work-in-progress","","folder","TRUE","FALSE","Site QA","MRAB","Earthworks"
"93476275-f34e-465c-906e-4e58378723c4","","not-started","ITP-002 Earthworks Cut","checklist","FALSE","FALSE","Site QA","MRAB","Earthworks","EAR-ITP-002-CUT-LOT-001 - Moonshine Cut"
"61cd32fe-916e-44bf-88d4-4373a22aaed9","","work-in-progress","ITP-003 Earthworks Fill","checklist","FALSE","FALSE","Site QA","MRAB","Earthworks","EAR-ITP-003-FILL-LOT-001 - Moonshine Ch0-60 SIL"
"c0c97b81-589f-4c49-906a-e768b87dddd4","","work-in-progress","ITP-003 Earthworks Fill","checklist","FALSE","FALSE","Site QA","MRAB","Earthworks","EAR-ITP-003 FILL-LOT-002 - Moonshine Ch60-70 SIL"
"55cdd4aa-b220-4cc5-acc0-1e6023cb93a8","","not-started","ITP-003 Earthworks Fill","checklist","FALSE","FALSE","Site QA","MRAB","Earthworks","EAR-ITP-003 Fill-LOT-003 - Vasta Driveway"
"068cdca1-d013-4981-9df6-26dd7e722ebb","","no-status-not-started","","folder","TRUE","FALSE","Site QA","MRAB","Landscaping"
"9f1b7b0a-5cc5-48a6-ba9d-e50fcff23c4d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","MRAB","Pavements"
"8a6dcb28-6d94-4fa7-b8f0-ee61273f7191","","no-status-not-started","","folder","TRUE","FALSE","Site QA","MRAB","Surface Water Channels"
"ed64d5d3-31e0-45bc-819a-d92d4eef2042","","no-status-not-started","","folder","TRUE","FALSE","Site QA","MRAB","Traffic Services"
"a5f84ea6-21c2-400e-b160-887266352110","","no-status-not-started","","folder","TRUE","FALSE","Site QA","MRAB","Utilities"
"a367ea12-3e1c-483e-98c3-e3facbf8fd01","","no-status-not-started","","folder","TRUE","FALSE","Site QA","MRAB","Landscaping"
"660466d2-2903-458e-bf2e-f04c7a9218b1","","no-status-not-started","","folder","TRUE","FALSE","Site QA","M2F"
"89e43f01-9d57-4b5a-abd7-336453622d0e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","M2F","Drainage"
"f973f4d6-c24e-482f-bfc4-a2def0dfa49d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","M2F","Earthworks"
"3028d5dd-60bc-4f48-92f8-367038bd566a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","M2F","Landscaping"
"3e0fd090-4263-40cd-8dc1-fce1b1810708","","no-status-not-started","","folder","TRUE","FALSE","Site QA","M2F","Pavements"
"e85c4ea3-d0c7-4e96-9d4f-1ee296ef9a44","","no-status-not-started","","folder","TRUE","FALSE","Site QA","M2F","Structures"
"a404d206-fcbf-498a-bb2f-e6890f3df636","","no-status-not-started","","folder","TRUE","FALSE","Site QA","M2F","Surface Water Channels"
"6c9c267d-e910-46f9-8655-a16b1794c0d0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","M2F","Traffic Services"
"44e9962e-a349-4901-b128-bc7f30d706fc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","M2F","Utilities"
"bea4fca8-b1ab-485b-95f6-c34f1b58c1bd","","no-status-not-started","","folder","TRUE","FALSE","Site QA","FRAB"
"b97ce68b-d993-49f7-85a8-623ab6fc1459","","no-status-not-started","","folder","TRUE","FALSE","Site QA","FRAB","Drainage"
"0060236f-daf1-42f2-9564-7538087fe055","","no-status-not-started","","folder","TRUE","FALSE","Site QA","FRAB","Earthworks"
"d985e84a-c300-45eb-a7db-3c07006ff87d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","FRAB","Landscaping"
"a8576cf4-2247-49bf-be8a-349b1d263b86","","no-status-not-started","","folder","TRUE","FALSE","Site QA","FRAB","Pavements"
"cd98b8e4-2913-43c3-b7db-64145eb694a6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","FRAB","Surface Water Channels"
"53c69f67-acb5-4cd6-bdb0-2515f269e4d9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","FRAB","Traffic Services"
