type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Defect ITP,,,,,,Defect ITP,
checkpoint,Take photos or documents & comment where applicable,,,,,,,
select,Dilap,"Existing Cracks in ceiling, Existing Damage in cabinetry, Existing Damage in gyprock walls, Existing Stains/damage to carpets, Existing damage to benchtops, Existing damage to stove/oven, Other",,,,,,
text,FD/Penetration No,,,,,,,
select,Ceiling Access Panel,"Pass - Accessible, FAIL - Not accessible, FAIL - Relocate Ceiling AP, FAIL - Install NEW Ceiling AP, Other",,,,,,
select,Duct Access Panel,"PASS - Not Required, PASS - Existing Duct AP is COMPLIANT, FAIL - Relocate Existing Duct AP, FAIL - Install new Duct AP, Other",,,,,,
select,Damper Type,"Intumescent FD, Mechanical Curtain FD, Slab FD, Ventilation Damper, Other",,,,,,
select,Wall type,"Masonry/Concrete, Hebel, Speed Panel, FR Plasterboard, Other",,,,,,
select,Shape,"Round, Rectangle, Other",,,,,,
select,Tested System Ref #,"Yes - attach system number, Not known, Other",,,,,,
select,Angle System,"Square - 2 sides, Square - 3 sides, Square - 4 sides, V- shape, Other",,,,,,
select,Angle Installation,"Obstructed- behind Gyprock, Pass - clear unobstructed view, Angles CORNERS within 5mm gap, Angle FLUSH to wall, Other",,,,,,
select,Mastic,"Manufacturer approved Mastic - YES, Mastic type UNKNOWN, Manufacturer approved Mastic - NO, Bead complete - No gaps/ shrinkage, Mastic Bead - FAIL, Depth of Mastic 25mm - PASS, Depth of Mastic 25mm - FAIL, Other",,,,,,
select,Breakaway joint,"PASS - less than 150mm from walls, FAIL - More than 150mm from walls, PASS - Nylon bolts/Rivets, FAIL - BOLTS non compliant, Other",,,,,,
select,Actuators,"PASS - Accessible, FAIL - Not accessible, PASS - ROTATE Actuator, Other",,,,,,
select,Bathroom - Airflow Reading L/sec,"Test 1# Pass, Test #1 Fail, Other",,,,,,
select,Ensuite - Airflow Reading L/sec,"Test 2# Pass, Test #2 Fail, Other",,,,,,
select,Laundry - Airflow Reading L/sec,"Test 3# Pass, Test #3 Fail, Fail - Laundry - FILTER BLOCKED, PASS - Laundry FILTER OPEN, Other",,,,,,
