type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Rough In (Cavity Pockets & PMJ),,,,,,B03/B04 - Rough In (Cavity Pockets & PMJ)
checkpoint,Cavity pockets installed,,,,,,
checkpoint,Install pressed metal jamb,,,,,,
,,,,,,,
checklist-flat,Rough In (PMJ only),,,,,,B03/B04 - Rough In (PMJ only)
checkpoint,Install pressed metal jamb,,,,,,
,,,,,,,
checklist-flat,Common Area Checklist,,,,,,B03/B04 - Common Area Checklist
checkpoint,Installation of skirting,,,,,,
checkpoint,Installation of architraves,,,,,,
checkpoint,Installation of dado rail,,,,,,
checkpoint,Installation of arcade joinery (where required),,,,,,
checkpoint,Installation of fire doors,,,,,,
checkpoint,Installation of all door hardware & door closes sufficiently,,,,,,
checkpoint,Fire tags installed on the door and door jamb,,,,,,
checkpoint,Area left clean and tidy (attach photo),,,,,,
checkpoint,All work 100% completed to required specifications,,,,,,
,,,,,,,
checklist-flat,Rough In - Apartments,,,,,,B03/B04 - Rough In - Apartments
checkpoint,Cavity pockets installed,,,,,,
checkpoint,Install laundry stackers,,,,,,
checkpoint,Add bathroom noggins,,,,,,
checkpoint,Add window noggins,,,,,,
,,,,,,,
checklist-flat,Installation - Apartments,,,,,,B03/B04 - Installation - Apartments
checkpoint,Internal doors hung,,,,,,
checkpoint,Skirting installed,,,,,,
checkpoint,Cavity doors installed,,,,,,
checkpoint,Window architraves installed,,,,,,
checkpoint,Wardrobe jamb installed,,,,,,
checkpoint,Entry door hung,,,,,,
checkpoint,All install work 100% completed to required specifications,,,,,,
checkpoint,Area left clean and tidy (attach photo),,,,,,
,,,,,,,
checklist-flat,Care/ALS Fit Off Checklist,,,,,,B03/B04 - Care/ALS Fit Off Checklist
checkpoint,Installation of door hardware and door closes sufficiently,,,,,,
checkpoint,Bathroom and toilet vanity installed,,,,,,
checkpoint,"Handrails, toilet rolls and towel rails installed",,,,,,
checkpoint,Entry door hardware installed and closes sufficiently,,,,,,
checkpoint,Fire tags installed on the door and door jamb,,,,,,
checkpoint,Shower trays installed,,,,,,
checkpoint,Area left clean and tidy (attach photo),,,,,,
checkpoint,All work 100% completed to required specifications,,,,,,
