"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"402accfd-a7b9-4157-8f5c-14f4f00e7424","","work-in-progress","","folder","TRUE","FALSE","Core 1"
"6982d744-4264-4607-91b3-a7fd9fa4597d","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 1","C01C01"
"f1f8863d-12f8-40c6-92a7-ace7b533efc7","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 1","C01C02"
"4d8826b2-db2c-42b9-b7a2-c1a77031c228","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 1","C01C03"
"d7e4bf35-1517-4b23-b836-8893c4b52577","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 1","C01C04"
"3f05f1ca-cfe0-4c04-9207-f411aca8512c","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 1","C01C05"
"d330fd01-e176-4f40-84cb-4124bf458536","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 1","C01C06"
"a118d5a8-cca5-4ab4-9875-46449980b52a","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 1","C01C07"
"4fa08624-e0ce-4560-9bd4-13f61b4a1e5b","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 1","C01C08"
"d6364099-defb-4a64-a03e-60199463e53a","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 1","C01C09"
"8ddaed8e-c50c-49d0-ac2a-9b64ddd93bcb","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 1","C01C10"
"ab6eeb46-fd6a-4f09-8659-6c5517a100a1","","work-in-progress","","folder","TRUE","FALSE","Core 3"
"bd4e2c2a-3f67-44a5-b763-bf0a4b9e2aae","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 3","C03C01"
"f4bf885b-f117-437a-b00e-0ef3eb12bf02","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 3","C03C02"
"5522329e-f6bf-40ec-8f0e-3ae8bae24a33","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 3","C03C03"
"513005a9-ba0d-44b2-8790-b20e960d20f3","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 3","C03C04"
"2a6b7d28-0164-403b-8b3d-6bb84e58d4cf","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 3","C03C05"
"8876269b-de9b-486a-87f4-246b63ef64a2","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 3","C03C06"
"2c186560-3860-4905-a494-ebb707774be6","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 3","C03C07"
"d0d05c01-dc6a-42a1-ba71-137f286a6ab1","","not-started","","folder","TRUE","FALSE","Core 4"
"5de781dd-f8f5-418e-8413-d1be5c76bf4b","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 4","C04C01"
"251bc085-bc37-4567-b848-b6348849bf60","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 4","C04C02"
"1845fabe-1fdc-4daa-a85d-36d665e19d37","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 4","C04C03"
"50a6a5c3-4bc0-4066-9ddc-027f609a2efd","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 4","C04C04"
"7b64c4f0-250a-4032-9fa7-344b69b578ce","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 4","C04C05"
"48525394-3f4a-4c9d-a205-8bfb53a75c46","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 4","C04C06"
"374421c5-dd98-4d2b-8285-194ef9b33a00","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 4","C04C07"
"ed327b94-41ed-4436-9c94-5a3ebe31433b","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 4","C04C08"
"1ab38acf-4c09-4812-b82b-e389b7e97ab5","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 4","C04C09"
"b81dca51-0339-44fd-86f5-354157b10a5f","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 4","C04C10"
"a20303be-d219-4593-bf7c-1b2f557fef23","","not-started","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 4","C04C11"
"f4eeae26-a2f6-4752-94ce-431ecbf8fa5b","","work-in-progress","","folder","TRUE","FALSE","Core 5"
"7f5784ef-a2d8-48f9-9fcf-0b0a42665482","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 5","C05C01"
"87c416e4-d126-4078-9255-a8e83d274cd9","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 5","C05C02"
"dd562bf2-f68e-4d59-b12d-3369f97a2231","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 5","C05C03"
"2e431bbd-34cc-4e36-8c91-7565b4055569","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 5","C05C04"
"6adaa431-dd32-43f4-9470-a3dafba06351","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Core 5","C05C05"
