type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Ply Catwalk T250,,,,,,Ply Catwalk T250
checkpoint,Access given back to WWX for plenum pretest inspection and review.,,,,,,
text,Aconex Reference Number,,,,,,
checkpoint,WWX Work damage free from other trades.,,,,,,
checkpoint,Is the plenum visually approved for testing,,,,,,
holdpoint,"HOLD POINT - Following parties to sign off prior to any tests - Woodworx, ARC, Entire Mech, Lendlease",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
