Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,
Overall Progress,,,,,,,,,,,
,Scope,,,Site QA,,,,,,,
,Rows,,,,,,,,,,
,,First Fix - Zone 1,dynamic,Zone 1,First Fix,Site QA,,,,,
,,First Fix - Zone 2,dynamic,Zone 2,First Fix,Site QA,,,,,
,,Second Fix - Zone 1,dynamic,Zone 1,Second Fix,Site QA,,,,,
,,Second Fix - Zone 2,dynamic,Zone 2,Second Fix,Site QA,,,,,
,Columns,,,,,,,,,,
,,Cabling,,Cabling,,,,,,,
,,Catenary Wires,,Catenary Wires,,,,,,,
,,Floor Penetration,,Floor Penetration,,,,,,,
,,First Fix - Power,,Power,First Fix,,,,,,
,,First Fix - Lighting,,Lighting,First Fix,,,,,,
,,First Fix - Data,,Data,First Fix,,,,,,
,,Flush Boxes,,Flush Boxes,,,,,,,
,,Second Fix - Power,,Power,Second Fix,,,,,,
,,Second Fix - Lighting,,Lighting,Second Fix,,,,,,
,,Second Fix - Data,,Data,Second Fix,,,,,,
,,,,,,,,,,,
QA - First Fix,,,,,,,,,,,
,Scope,,,First Fix,,,,,,,
,Rows,,,,,,,,,,
,,Zone 1 - Fibre Works,dynamic,Fibre Works,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Cable Containment,dynamic,Cable Containment,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Office,dynamic,Office,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Assist,dynamic,Assist,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Open Plan Office Space,dynamic,Open Plan Office Space,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - 2-Pax Meet (Gridline 4-5) - w/in Open Plan Space,dynamic,2-Pax Meet (Gridline 4-5) - w/in Open Plan Space,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - 2-Pax Meet (Gridline 5-6) - w/in Open Plan Space,dynamic,2-Pax Meet (Gridline 5-6) - w/in Open Plan Space,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Meet / Brain Storm,dynamic,Meet / Brain Storm,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Meet / Collaboration Area,dynamic,Meet / Collaboration Area,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - 4-Pax Meet (GL1-2) - near Meet 1,dynamic,4-Pax Meet (GL1-2) - near Meet 1,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - 6-Pax Board Room Meet (GL2-3) - near Utility,dynamic,6-Pax Board Room Meet (GL2-3) - near Utility,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - 8-Pax Board Room Meet 1,dynamic,8-Pax Board Room Meet 1,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Meet 2 ,dynamic,Meet 2 ,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Meet 3,dynamic,Meet 3,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - 8-Pax Meet 4,dynamic,8-Pax Meet 4,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - 4-Pax Meet 8 ,dynamic,4-Pax Meet 8 ,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - 8-Pax Meet 9,dynamic,8-Pax Meet 9,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Meet / Focus,dynamic,Meet / Focus,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Meet (Gridline 0-1),dynamic,Meet (Gridline 0-1),Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Quiet 1  ,dynamic,Quiet 1  ,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Quiet 2 ,dynamic,Quiet 2 ,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Quiet 3  ,dynamic,Quiet 3  ,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Quiet 4 ,dynamic,Quiet 4 ,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Wellness ,dynamic,Wellness ,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Male Toilet,dynamic,Male Toilet,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Female Toilet,dynamic,Female Toilet,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Comms ,dynamic,Comms ,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Utility (Gridline 1-2),dynamic,Utility (Gridline 1-2),Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Utility (Gridline 3-4),dynamic,Utility (Gridline 3-4),Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Utility (Gridline 4-5),dynamic,Utility (Gridline 4-5),Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Utility (Gridline 4),dynamic,Utility (Gridline 4),Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Vend Area,dynamic,Vend Area,Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Phone (Gridline 3-4),dynamic,Phone (Gridline 3-4),Zone 1,First Fix,Site QA,,,,
,,Zone 1 - Phone (Gridline 5),dynamic,Phone (Gridline 5),Zone 1,First Fix,Site QA,,,,
,,Zone 2 - Open Plan Office Space,dynamic,Open Plan Office Space,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - Meet (Gridline 7-8),dynamic,Meet (Gridline 7-8),Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 4-Pax Meet 10,dynamic,4-Pax Meet 10,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 10-Pax Meet 11 ,dynamic,10-Pax Meet 11 ,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 4-Pax Meet 12,dynamic,4-Pax Meet 12,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 7-Pax Meet 13,dynamic,7-Pax Meet 13,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 4-Pax Meet 14,dynamic,4-Pax Meet 14,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 4-Pax Meet 15,dynamic,4-Pax Meet 15,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 4-Pax Meet 16,dynamic,4-Pax Meet 16,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 4-Pax Meet 17,dynamic,4-Pax Meet 17,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - Meet 18,dynamic,Meet 18,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 4-Pax Meet 19 ,dynamic,4-Pax Meet 19 ,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 4-Pax Meet 20,dynamic,4-Pax Meet 20,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 4-Pax Meet 21,dynamic,4-Pax Meet 21,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 6-Pax Meet 22,dynamic,6-Pax Meet 22,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 16-Pax Meet 23,dynamic,16-Pax Meet 23,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 4-Pax Meet 24,dynamic,4-Pax Meet 24,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 4-Pax Meet 25,dynamic,4-Pax Meet 25,Zone 2,First Fix,Site QA,,,,
,,Zone 2 - 10-Pax Meet 26,dynamic,10-Pax Meet 26,Zone 2,First Fix,Site QA,,,,
