"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c440b384-53a0-4615-915e-ab5ad87e62c3","","not-started","","folder","TRUE","FALSE","Site QA"
"4df6e85c-2833-4a96-ae56-a66e70a2c093","","not-started","","folder","TRUE","FALSE","Site QA","Block A"
"c9925372-25d4-4f3b-931f-01fb4d75babb","","not-started","QA - Metal Ceiling Grid Checklist","checklist","FALSE","FALSE","Site QA","Block A","Metal Grid Ceilings"
"335e2af0-20b2-4daf-8c65-296a611bd48a","","not-started","QA - Standard Wall Lining Checklist","checklist","FALSE","FALSE","Site QA","Block A","GIB Fix"
"5db55736-b794-485f-8aeb-a2fd89e0d888","","not-started","QA - Stopping Checklist","checklist","FALSE","FALSE","Site QA","Block A","GIB Stop"
"df46c434-244c-41d4-abdf-ab1a0d556b15","","not-started","","folder","TRUE","FALSE","Site QA","Block B"
"3420aecf-7817-4b85-981a-be487dc60694","","not-started","QA - Metal Ceiling Grid Checklist","checklist","FALSE","FALSE","Site QA","Block B","Metal Grid Ceilings"
"5694f125-6550-431a-815d-86daf3dd9894","","not-started","QA - Standard Wall Lining Checklist","checklist","FALSE","FALSE","Site QA","Block B","GIB Fix"
"5e6c57b4-2c10-4518-a157-115a0e4bdc95","","not-started","QA - Stopping Checklist","checklist","FALSE","FALSE","Site QA","Block B","GIB Stop"
"35da9c1c-23a8-422c-824e-9e33e3d60a97","","not-started","","folder","TRUE","FALSE","Site QA","Block C"
"6376f3f3-2508-487f-bb3c-86aacbdfe35c","","not-started","QA - Metal Ceiling Grid Checklist","checklist","FALSE","FALSE","Site QA","Block C","Metal Grid Ceilings"
"d5bdc9c5-6313-4ffa-86a5-e960187f7586","","not-started","QA - Standard Wall Lining Checklist","checklist","FALSE","FALSE","Site QA","Block C","GIB Fix"
"b86026c2-6d26-4be1-85d9-59784a310c5b","","not-started","QA - Stopping Checklist","checklist","FALSE","FALSE","Site QA","Block C","GIB Stop"
"1153802d-34cb-4d6e-9179-a37668b4970c","","not-started","","folder","TRUE","FALSE","Site QA","Block D"
"c374920d-763b-4260-b72d-c7b3cb5ba0cb","","not-started","QA - Metal Ceiling Grid Checklist","checklist","FALSE","FALSE","Site QA","Block D","Metal Grid Ceilings"
"cd6296b1-56c8-4570-9824-c28330acc1c5","","not-started","QA - Standard Wall Lining Checklist","checklist","FALSE","FALSE","Site QA","Block D","GIB Fix"
"5448483e-4add-4415-8897-6521a6006383","","not-started","QA - Stopping Checklist","checklist","FALSE","FALSE","Site QA","Block D","GIB Stop"
"4d7d0aaa-87f3-49e6-9203-69dcafef074f","","not-started","","folder","TRUE","FALSE","Site QA","Block E"
"fcad63b6-c6c8-4897-9013-18e4ddd4cc8b","","not-started","QA - Metal Ceiling Grid Checklist","checklist","FALSE","FALSE","Site QA","Block E","Metal Grid Ceilings"
"cbaf527a-55c5-4b42-aceb-a0a29e3d0b9e","","not-started","QA - Standard Wall Lining Checklist","checklist","FALSE","FALSE","Site QA","Block E","GIB Fix"
"051fc0a7-fca4-4e14-8972-7b0ce48038d5","","not-started","QA - Stopping Checklist","checklist","FALSE","FALSE","Site QA","Block E","GIB Stop"
"9ee6602c-864b-4df2-b06f-535c0d48eb2f","","no-status-not-started","","folder","TRUE","FALSE","Toolbox"
"7eec30ea-0ba7-4dd4-9bb1-15e1c6daac7e","","no-status-not-started","","folder","TRUE","FALSE","Site Visit"
