"","Duct Installation","Pipe Installation","Fans","Fan Coil Units","Fan Wall Units","Condenser Unit"
"Ground","wip","wip","wip","not started","wip","not started"
"Level 1","wip","wip","wip","not started",,
"Roof Level","not started","not started",,,,
"Lower Level Roof","not started","not started","not started",,,
