resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,INTERIOR FITOUT,,,,,,,,
,,step,,,,ISOLATION,,,,,,,
ISOLATION AND DISCONNECTION,,checklist,,,,,ELECTRICAL ISOLATION,,,,,,
,,step,,,,ELECTRICAL AND DATA,,,,,,,
1ST FIX ,,checklist,,,,,1ST FIX ,,,,,,
2ND FIX ,,checklist,,,,,2ND FIX ,,,,,,
,,step,,,,DISTRIBUTION,,,,,,,
DISTRIBUTION BOARD,,checklist,,,,,DISTRIBUTION BOARD DB1,,,,,,
,,step,,,,COMMISSIONING ,,,,,,,
COMMISSIONING - DISTRIBUTION BOARD,,checklist,,,,,COMMISSIONING - SWITCHBOARD MSB,,,,,,
COMMS CABINET,,checklist,,,,,DATA,,,,,,
