resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Site Establishment and Safety Checklist,,,checklist,,,OHS,,,,,,,,
,,,step,,,DUCTWORK,,,,,,,,
Ductwork Checklist,Grille Fit-Off Checklist,,folder-with-checklists,,,,INPATIENT - Ground Level,,,,,,,
Ductwork Checklist,,,folder-with-checklists,,,,INPATIENT - Roof Level,,,,,,,
Ductwork Checklist,Grille Fit-Off Checklist,,folder-with-checklists,,,,FOH - Ground Level,,,,,,,
Ductwork Checklist,,,folder-with-checklists,,,,FOH - Roof Level,,,,,,,
,,,step,,,ERV,,,,,,,,
ERV Checklist,,,checklist,,,,HEX.1,,,,,,,
ERV Checklist,,,checklist,,,,HEX.2,,,,,,,
ERV Checklist,,,checklist,,,,HEX.3,,,,,,,
ERV Checklist,,,checklist,,,,HEX.4,,,,,,,
,,,step,,,FAN,,,,,,,,
Fan Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,EF.1,,,,,,,
Fan Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,EF.2,,,,,,,
Fan Checklist,,,folder-with-checklists,,,,EF.3,,,,,,,
,,,step,,,SPLIT DX,,,,,,,,
,,,step,,,,AC-IP.1,,,,,,,
Split DX Unit Checklist,,,checklist,,,,,Split DX Unit,,,,,,
Drains Checklist,,,checklist,,,,,Drains,,,,,,
,,,step,,,,AC-IP.2,,,,,,,
Split DX Unit Checklist,,,checklist,,,,,Split DX Unit,,,,,,
Drains Checklist,,,checklist,,,,,Drains,,,,,,
Ductwork Checklist,,,checklist,,,,,Ductwork,,,,,,
Grille Fit-Off Checklist,,,checklist,,,,,Grille Fit-Off,,,,,,
,,,step,,,,AC-IP.3,,,,,,,
Split DX Unit Checklist,,,checklist,,,,,Split DX Unit,,,,,,
Drains Checklist,,,checklist,,,,,Drains,,,,,,
,,,step,,,,AC-IP.4,,,,,,,
Split DX Unit Checklist,,,checklist,,,,,Split DX Unit,,,,,,
Drains Checklist,,,checklist,,,,,Drains,,,,,,
Ductwork Checklist,,,checklist,,,,,Ductwork,,,,,,
Grille Fit-Off Checklist,,,checklist,,,,,Grille Fit-Off,,,,,,
,,,step,,,,AC-IP.5,,,,,,,
Split DX Unit Checklist,,,checklist,,,,,Split DX Unit,,,,,,
Drains Checklist,,,checklist,,,,,Drains,,,,,,
,,,step,,,,AC-IP.6,,,,,,,
Split DX Unit Checklist,,,checklist,,,,,Split DX Unit,,,,,,
Drains Checklist,,,checklist,,,,,Drains,,,,,,
,,,step,,,,AC-IP.7,,,,,,,
Split DX Unit Checklist,,,checklist,,,,,Split DX Unit,,,,,,
Drains Checklist,,,checklist,,,,,Drains,,,,,,
,,,step,,,,AC-IP.8,,,,,,,
Split DX Unit Checklist,,,checklist,,,,,Split DX Unit,,,,,,
Drains Checklist,,,checklist,,,,,Drains,,,,,,
Ductwork Checklist,,,checklist,,,,,Ductwork,,,,,,
Grille Fit-Off Checklist,,,checklist,,,,,Grille Fit-Off,,,,,,
,,,step,,,,AC-IP.9,,,,,,,
Split DX Unit Checklist,,,checklist,,,,,Split DX Unit,,,,,,
Drains Checklist,,,checklist,,,,,Drains,,,,,,
,,,step,,,,AC-IP.10,,,,,,,
Split DX Unit Checklist,,,checklist,,,,,Split DX Unit,,,,,,
Drains Checklist,,,checklist,,,,,Drains,,,,,,
Ductwork Checklist,,,checklist,,,,,Ductwork,,,,,,
Grille Fit-Off Checklist,,,checklist,,,,,Grille Fit-Off,,,,,,
,,,step,,,,AC-IP.11,,,,,,,
Split DX Unit Checklist,,,checklist,,,,,Split DX Unit,,,,,,
