resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,step,,,,,,Outdoor Unit,,,,,
AC Outdoor unit (VRV) Fit Off,AC Outdoor unit (VRV) Commissioning,,,,,,folder-with-checklists,,,,,,,CU-6,,,,
,,,,,,,step,,,,,CU-7,,,,,,
,,,,,,,step,,,,,,Hi Wall Split,,,,,
AC High wall mounted Rough In,AC High wall mounted Fit Off,AC Outdoor unit (Stand Alone) Fit Off,AC Outdoor unit (Stand Alone) Commissioning,,,,folder-with-checklists,,,,,,,AC.FH.21,,,,
,,,,,,,step,,,,,,Outdoor Unit,,,,,
,,,,,,,step,,,,,,,CU-7,,,,
AC Outdoor unit (VRV) Fit Off,,,,,,,checklist,,,,,,,,AC Outdoor unit (VRV) Fit Off,,,
AC Outdoor unit (VRV) Commissioning,,,,,,,checklist,,,,,,,,AC Outdoor unit (VRV) Commissioning,,,
,,,,,,,step,,,,,Heat Recovery Unit ,,,,,,
,,,,,,,step,,,,,,ERV,,,,,
ERV Rough In,ERV Ductwork,ERV Flex & Cushion Boxes,ERV Fit Off,ERV Commissioning,,,folder-with-checklists,,,,,,,HEX.3,,,,
ERV Rough In,ERV Ductwork,ERV Flex & Cushion Boxes,ERV Fit Off,ERV Commissioning,,,folder-with-checklists,,,,,,,HEX.4,,,,
,,,,,,,step,,,,Inpatient Building ,,,,,,,
,,,,,,,step,,,,,CU-1,,,,,,
,,,,,,,step,,,,,,Branch ,,,,,
,,,,,,,step,,,,,,,BS.1-1,,,,
AC Branch Box Rough In,,,,,,,checklist,,,,,,,,Rough In,,,
Branch Box Pipe & Drains,,,,,,,checklist,,,,,,,,Pipe & Drains,,,
,,,,,,,step,,,,,,,BS.1-2,,,,
AC Branch Box Rough In,,,,,,,checklist,,,,,,,,Rough In,,,
Branch Box Pipe & Drains,,,,,,,checklist,,,,,,,,Pipe & Drains,,,
,,,,,,,step,,,,,,AC Ducted Unit,,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.2,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.3,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.8,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.10,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.12,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.13,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.14,,,,
,,,,,,,step,,,,,,Cassette,,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.4,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.5,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.7,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.9,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.11,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.28,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.33,,,,
,,,,,,,step,,,,,,Outdoor Unit,,,,,
,,,,,,,step,,,,,,,CU-1,,,,
AC Outdoor unit (VRV) Fit Off,,,,,,,checklist,,,,,,,,Fit Off,,,
AC Outdoor unit (VRV) Commissioning,,,,,,,checklist,,,,,,,,Commissioning,,,
,,,,,,,step,,,,,CU-2,,,,,,
,,,,,,,step,,,,,,Branch ,,,,,
,,,,,,,step,,,,,,,BS.2-1,,,,
AC Branch Box Rough In,,,,,,,checklist,,,,,,,,Rough In,,,
Branch Box Pipe & Drains,,,,,,,checklist,,,,,,,,Pipe & Drains,,,
,,,,,,,step,,,,,,,BS.2-2,,,,
AC Branch Box Rough In,,,,,,,checklist,,,,,,,,Rough In,,,
Branch Box Pipe & Drains,,,,,,,checklist,,,,,,,,Pipe & Drains,,,
,,,,,,,step,,,,,,AC Ducted Unit,,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.20,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.22,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.24,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.26,,,,
,,,,,,,step,,,,,,Cassette,,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.1,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.15,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.16,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.17,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.18,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.19,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.21,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.23,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.25,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.27,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.28,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.34,,,,
Cassette Rough In,Cassette Pipework & Drains,Cassette Fit Off,Cassette Commissioning,,,,folder-with-checklists,,,,,,,AC.IP.35,,,,
,,,,,,,step,,,,,,Outdoor Unit,,,,,
,,,,,,,step,,,,,,,CU-2,,,,
AC Outdoor unit (VRV) Fit Off,,,,,,,checklist,,,,,,,,Fit Off,,,
AC Outdoor unit (VRV) Commissioning,,,,,,,checklist,,,,,,,,Commissioning,,,
,,,,,,,step,,,,,CU-3,,,,,,
,,,,,,,step,,,,,,Branch ,,,,,
,,,,,,,step,,,,,,,BS.3-1,,,,
AC Branch Box Rough In,,,,,,,checklist,,,,,,,,Rough In,,,
Branch Box Pipe & Drains,,,,,,,checklist,,,,,,,,Pipe & Drains,,,
,,,,,,,step,,,,,,,BS.3-2,,,,
AC Branch Box Rough In,,,,,,,checklist,,,,,,,,Rough In,,,
Branch Box Pipe & Drains,,,,,,,checklist,,,,,,,,Pipe & Drains,,,
,,,,,,,step,,,,,,AC Ducted Unit,,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.29,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.30,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.31,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.32,,,,
AC Ducted Unit Rough In,AC Ducted Unit Pipework & Drains,AC Ducted Unit Ductwork,AC Ducted Unit Flex & Cushion Boxes,AC Ducted Unit Fit Off,AC Ducted Unit Commissioning,,folder-with-checklists,,,,,,,AC.IP.36,,,,
,,,,,,,step,,,,,,Outdoor Unit,,,,,
,,,,,,,step,,,,,,,CU-3,,,,
AC Outdoor unit (VRV) Fit Off,,,,,,,checklist,,,,,,,,Fit Off,,,
AC Outdoor unit (VRV) Commissioning,,,,,,,checklist,,,,,,,,Commissioning,,,
,,,,,,,step,,,,,Heat Recovery Unit ,,,,,,
,,,,,,,step,,,,,,ERV,,,,,
ERV Rough In,ERV Ductwork,ERV Flex & Cushion Boxes,ERV Fit Off,ERV Commissioning,,,folder-with-checklists,,,,,,,HEX.1,,,,
ERV Rough In,ERV Ductwork,ERV Flex & Cushion Boxes,ERV Fit Off,ERV Commissioning,,,folder-with-checklists,,,,,,,HEX.2,,,,
,,,,,,,step,,,,,Fan ,,,,,,
,,,,,,,step,,,,,,EA Fan,,,,,
Fans Rough In,Fan Ductwork,Fan Flex & Cushion Boxes,Fan Fit Off,Fan Commissioning,,,folder-with-checklists,,,,,,,EF.1,,,,
Fans Rough In,Fan Ductwork,Fan Flex & Cushion Boxes,Fan Fit Off,Fan Commissioning,,,folder-with-checklists,,,,,,,EF.2,,,,
