Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,QA - Fan Coil Units,,,,2,Yes,QA - Fan Coil Units,9e3a6ae4-d492-47c2-b5ea-269d68c99bb1
checkpoint-group,,,section,Unit First Fix QA,,,,,,,
checkpoint-status,,,checkpoint,Correct Unit Installed,,,,,,,
checkpoint-status,,,checkpoint,Unit at correct height,,,,,,,
checkpoint-status,,,checkpoint,Mounting and Springs Installed,,,,,,,
checkpoint-status,,,checkpoint,Correct Hanger Spacing,,,,,,,
checkpoint-status,,,checkpoint,"Fridge or Water Pipes connected to unit, correct valves and fittings",,,,,,,
checkpoint-status,,,checkpoint,Unit Plenum Boxes to be installed,,,,,,,
checkpoint-status,,,checkpoint,Filters installed,,,,,,,
checkpoint-status,,,checkpoint,Seismic Bracing Installed,,,,,,,
checkpoint-status,,,checkpoint,Drawing information uploaded,,,,,,,
checkpoint-status,,,checkpoint,Flexible ducts run straight/tight/well supported/secured close to grille location,,,,,,,
text,885677f2-868f-5790-8113-8104d24227f9,,textbox,Drawing Reference Number,,,,,,,
checkpoint-status,,,checkpoint,P - trap installed,,,,,,,
checkpoint-status,,,checkpoint,Drip tray installed,,,,,,,
checkpoint-status,,,checkpoint,Condensate Drains installed,,,,,,,
checkpoint-status,,,checkpoint,Tundish provided by others,,,,,,,
checkpoint-status,,,checkpoint,"Correct Fall to tundish , and water flow tested",,,,,,,
checkpoint-group,,,section,Unit Second Fix QA,,,,,,,
checkpoint-status,,,checkpoint,Grilles installed square and level,,,,,,,
checkpoint-status,,,checkpoint,Flexible ducts taped then cable tied to grilles/boots,,,,,,,
checkpoint-status,,,checkpoint,Boots sealed to grilles,,,,,,,
checkpoint-status,,,checkpoint,Fans/Filters/Dampers/Access Panels etc all still accessible for maintenance,,,,,,,
checkpoint-status,,,checkpoint,Controllers fitted off.,,,,,,,
checkpoint-status,,,checkpoint,Transmission cable fitted off and labelled to and from if daisy chained,,,,,,,
checkpoint-status,,,checkpoint,Power fitted off,,,,,,,
checkpoint-status,,,checkpoint,"Area left clean and tidy, fingerprints removed",,,,,,,
checkpoint-status,,,checkpoint,Dip switches set,,,,,,,
checkpoint-status,,,checkpoint,Plant and controllers labelled,,,,,,,
checkpoint-group,,,section,E4M QA,,,,,,,
checkpoint-status,,,checkpoint,Wiring First Fix Complete,,,,,,,
checkpoint-status,,,checkpoint,Cable Tray Installed Correctly,,,,,,,
checkpoint-status,,,checkpoint,Electrical Isolators installed in Correct location,,,,,,,
checkpoint-status,,,checkpoint,Units Terminated,,,,,,,
checkpoint-status,,,checkpoint,Controllers Installed,,,,,,,
checkpoint-status,,,checkpoint,Units Tested and Running,,,,,,,
