"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d209257a-4051-4b6f-98ca-39cdabe4e291","","folder-normal","work-in-progress","","step","TRUE","FALSE","Curtain Wall"
"ecf5b03a-cab2-42ec-adcf-df83653578b5","","checklist-flat","pass","Floor Handover","checklist-flat","FALSE","FALSE","Curtain Wall","Floor Handover by Platform"
"7f947853-cc84-49a3-90aa-9a3c6e30531a","","checklist-sectioned","pass","GMS Brackets","checklist","FALSE","FALSE","Curtain Wall","GMS Brackets L1"
"f631bd7c-4241-412f-834b-4e51704375cd","","checklist-sectioned","pass","GMS Brackets","checklist","FALSE","FALSE","Curtain Wall","GMS Brackets L2"
"a6e6c08e-3622-4380-9e36-80a6567ddd2e","","checklist-sectioned","pass","GMS Brackets","checklist","FALSE","FALSE","Curtain Wall","GMS Brackets L3"
"399f501b-2d94-41a0-85bc-422790b429f7","","checklist-sectioned","pass","Seismic Frame","checklist","FALSE","FALSE","Curtain Wall","Seismic Frames"
"541c4e3e-6942-4dd7-99fc-430b42b53c89","","checklist-sectioned","pass","CW Panels","checklist","FALSE","FALSE","Curtain Wall","CW Panels L1-L2"
"57980962-647c-4377-8a9c-f9309fff6e50","","checklist-sectioned","pass","CW Panels","checklist","FALSE","FALSE","Curtain Wall","CW Panels L2-L3"
"aaffffad-7498-4f88-a92e-6e943372eb8d","","checklist-sectioned","pass","CW Panels","checklist","FALSE","FALSE","Curtain Wall","CW Panels L3"
"ce94afc7-6402-4244-bd8a-f5bb551738c5","","checklist-sectioned","work-in-progress","Ranch Sliders","checklist","FALSE","FALSE","Curtain Wall","Ranch Sliders L3"
"6d6f9e3c-a2ae-46f4-ab41-760f958fda91","","checklist-sectioned","not-started","SYS - Parapet Capping","checklist","FALSE","FALSE","Parapet Capping L3"
"6c09db40-79be-4b61-aaf3-b36bea4f7949","","checklist-sectioned","not-started","SYS - Parapet Capping","checklist","FALSE","FALSE","Parapet Capping Roof"
"3d791cb7-2262-42ee-adbd-5108f0c3b23e","","checklist-sectioned","not-started","Balustrade","checklist","FALSE","FALSE","Balustrade"
