"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"802deb95-ea9a-42c2-839f-2cf2608008e4","","folder-normal","not-started","","step","TRUE","FALSE","Elevation / Zone 2"
"52bfde7a-8a00-4925-9cec-74896d6c7334","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 2","W.203-01"
"c5b8641e-3657-5964-906d-ff6eeebab06f","","checkpoint-status","not-started","Seismic Suite (non curtain wall):bd22ba62-8f47-417e-b140-5c745cd5445d","","TRUE","TRUE","Elevation / Zone 2","W.203-01","Opening Prepared, Wrapped & Datums"
"5c43bbdb-fbc5-5528-a9e0-bb26a7267296","","checkpoint-status","not-started","Seismic Suite (non curtain wall):aba6432e-81f0-459b-969d-33f2c9e4840e","","TRUE","TRUE","Elevation / Zone 2","W.203-01","Seismic Installed As Per Shop Drawings"
"9c0f89bc-b451-506f-8966-98842e8482e6","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34948e75-a8fe-4b96-876b-57e5c1bfed66","","TRUE","TRUE","Elevation / Zone 2","W.203-01","Splicers & Soakers Sealed (provide photo reference)"
"b9847457-f1fd-51f8-abbc-8baecf835e3c","","checkpoint-status","not-started","Seismic Suite (non curtain wall):ee7431c3-589d-4992-95d1-166a244acd67","","TRUE","TRUE","Elevation / Zone 2","W.203-01","Panel Fitted & Locked Off"
"3ac01c02-8507-5f24-999d-7945ee6294b3","","checkpoint-status","not-started","Seismic Suite (non curtain wall):c5a83be5-fda6-4508-9e3b-6bd2ae16b26a","","TRUE","TRUE","Elevation / Zone 2","W.203-01","Airseal and Internal Flashings (Photo)"
"83dfe87f-a36a-5e84-beec-93de86b0db10","","checkpoint-status","not-started","Seismic Suite (non curtain wall):f5e53ff0-889e-4f3e-81a6-6b35df2c0460","","TRUE","TRUE","Elevation / Zone 2","W.203-01","External Flashings / Weather Seals / Drainage"
"0745110b-9b51-5fb5-aeac-ccc07784f90c","","checkpoint-status","not-started","Seismic Suite (non curtain wall):189d8873-b9e3-4d3f-885a-763c18181cfb","","TRUE","TRUE","Elevation / Zone 2","W.203-01","Site Glazing Completed"
"7ba67669-d3b7-55ff-bc7d-6800022c1628","","checkpoint-status","not-started","Seismic Suite (non curtain wall):66454286-af6b-4a67-aff1-6788cf671fb2","","TRUE","TRUE","Elevation / Zone 2","W.203-01","Trade Clean"
"aa54309c-77ef-5134-82cf-56cb5d2e5d68","","checkpoint-status","not-started","Seismic Suite (non curtain wall):34a879bb-dc31-485e-b305-fe59e8021189","","TRUE","TRUE","Elevation / Zone 2","W.203-01","Wights - Sign Off"
"f7ec8b49-13ff-4727-95e6-e6bc1a1bce08","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Elevation / Zone 2","W.203-01 (2?)"
