"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b4d033fa-b8cb-4602-8828-2744e7ede332","","folder-normal","not-started","","step","TRUE","FALSE","NAL Titan QA"
"6bee421b-e6cd-46fc-af81-9175bff984e5","","folder-normal","not-started","","step","TRUE","FALSE","NAL Titan QA","Chainage 125.603"
"c1157cd0-1874-4787-8455-03e7c180b7a8","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 125.603 - 1.0 PRE-CONSTRUCTION","checklist","FALSE","FALSE","NAL Titan QA","Chainage 125.603","CH 125.603 - 1.0 PRE-CONSTRUCTION"
"e1a47a9a-a0f9-47c9-af68-67b8fb2e91dd","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 125.603 - 2.0 STORMWATER DRAINAGE","checklist","FALSE","FALSE","NAL Titan QA","Chainage 125.603","CH 125.603 - 2.0 STORMWATER DRAINAGE"
"980f80ff-96b2-4f0a-a61c-f96ffec2bc12","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 125.603 - 3.0 RETAINING WALL CONSTRUCTION","checklist","FALSE","FALSE","NAL Titan QA","Chainage 125.603","CH 125.603 - 3.0 RETAINING WALL CONSTRUCTION"
"7f057bde-8140-480e-9a37-38064bf80e28","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 125.603 - 4.0 ANCHOR INSTALLATION","checklist","FALSE","FALSE","NAL Titan QA","Chainage 125.603","CH 125.603 - 4.0 ANCHOR INSTALLATION"
"9b2e6608-3d30-43e6-acba-29e71dc493bb","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 125.603 - 6.0 FORMATION CONSTRUCTION","checklist","FALSE","FALSE","NAL Titan QA","Chainage 125.603","CH 125.603 - 6.0 FORMATION CONSTRUCTION"
"ad4faf22-796c-4ccc-a8dc-09efd2cd8230","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 125.603 - 5.0 ANCHOR TESTING","checklist","FALSE","FALSE","NAL Titan QA","Chainage 125.603","CH 125.603 - 5.0 ANCHOR TESTING"
"daf0756a-cbd5-44d9-96f5-e0bc0cbf9f0b","","folder-normal","not-started","","step","TRUE","FALSE","NAL Titan QA","Chainage 128.840"
"9756447e-8c36-42c2-8382-bcd734e3e5f7","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 128.840 - 1.0 PRE-CONSTRUCTION WORKS","checklist","FALSE","FALSE","NAL Titan QA","Chainage 128.840","CH 128.840 - 1.0 PRE-CONSTRUCTION WORKS"
"429eb0c0-3a71-49a5-955c-0d656eaee2a3","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 128.840 - 2.0 DRAINAGE WORKS","checklist","FALSE","FALSE","NAL Titan QA","Chainage 128.840","CH 128.840 - 2.0 DRAINAGE WORKS"
"e6eda3c3-e2db-465c-8a82-ff1f29944942","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 128.840 - 3.0 TRACK FORMATION","checklist","FALSE","FALSE","NAL Titan QA","Chainage 128.840","CH 128.840 - 3.0 TRACK FORMATION"
"155d6291-3bc7-4678-8275-d7f93214aca8","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 128.840 - 4.0 POST CONSTRUCTION","checklist","FALSE","FALSE","NAL Titan QA","Chainage 128.840","CH 128.840 - 4.0 POST CONSTRUCTION"
"fcc4c7bd-11be-4bff-b39e-090b858f7b3c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","NAL Titan QA","Chainage 134.620"
"dfc3e9a0-cf93-4247-8611-3781a552c007","","folder-normal","no-status-not-started","","step","TRUE","FALSE","NAL Titan QA","Chainage 134.750"
"ad4a6960-1ea6-4d2e-8259-6eb690d554ee","","folder-normal","no-status-not-started","","step","TRUE","FALSE","NAL Titan QA","Chainage 136.000"
