"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"da115af4-b8d4-40ea-8310-0718e3f0e0fd","","work-in-progress","","folder","TRUE","FALSE","Construction"
"e136990f-ac23-4e4f-a9bd-041e9b0208e9","","work-in-progress","","folder","TRUE","FALSE","Construction","STAGE 1"
"a99cdbfe-df66-4ff4-8658-c87b36bfafc7","","work-in-progress","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A"
"971cb564-2d33-4c88-9e97-70e36e0a8baa","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A","6) ITP-006 Stormwater"
"619d6d2f-10e2-4418-82d6-0909ec5e7ae9","","pass","SYM-ITP-006 - Stormwater (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","6) ITP-006 Stormwater","SYM-PURL-SWD-1A-1 (EX-1.1 to NEW PIT (300mm RCP))"
"7432f8b3-35eb-4c0f-aeab-9f00264407a0","","pass","SYM-ITP-006 - Stormwater (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","6) ITP-006 Stormwater","SYM-PURL-SWD-1A-2 (NEW PIT to PV1.1 (300mm RCP))"
"d69c262c-8cd9-4330-a84e-05801c23eb95","","pass","SYM-ITP-006 - Stormwater (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","6) ITP-006 Stormwater","SYM-PURL-SWD-1A-3 (PV-1.1 to PV-1.2 (300mm RCP))"
"cbf9657e-4bd0-4a27-a121-3f2cf50a7b11","","pass","SYM-ITP-006 - Stormwater (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","6) ITP-006 Stormwater","SYM-PURL-SWD-1A-4 (PV-1.2 to PV-1.3 (300mm RCP))"
"c6016a01-dae7-4420-a905-2ba9f23d2d77","","pass","SYM-ITP-006 - Stormwater (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","6) ITP-006 Stormwater","SYM-PURL-SWD-1A-5 (PV-2.2 to PV-2.2.1 (300mm RCP))"
"06f38b57-6357-4bf3-bbd2-7db256adc65d","","not-started","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A","11) ITP-011 Landscaping"
"9a401d7f-6119-4b30-8dcb-42f952d7982e","","not-started","SYM-ITP-011 - LANDSCAPING (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","11) ITP-011 Landscaping","SYM-PURL-LAN-1A-1 (1A - Structural Soil Trench)"
"17fcc2a0-8ad3-425e-84d8-d907623a2b13","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A","12) ITP-012 Stratavault"
"535a6a13-26e0-41f8-aff2-b5d4ede84060","","pass","SYM-ITP-012 - Stratavaults (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","12) ITP-012 Stratavault","SYM-PURL-STV-1A-1 (SV1)"
"564d8ea2-c108-4545-9325-5ad2a349193a","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A","17) ITP-017 Traffic Signals"
"8a47e31b-a2c3-4a70-8897-c762adc5a5f4","","pass","SYM-ITP-017 - Traffic Signals (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","17) ITP-017 Traffic Signals","SYM-PURL-TRS-1A-1"
"884ba521-89f2-4f66-87d9-35e6d2e049a9","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A","18) ITP-018 Public Lighting"
"739b8cdc-02b6-4ec7-a862-9e5297b81899","","pass","SYM-ITP-018 - Public Lighting (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","18) ITP-018 Public Lighting","SYM-PURL-PUL-1A-1"
"28b62ebe-635e-432a-9da3-edbcbc23acb1","","pass","","folder","TRUE","FALSE","Construction","STAGE 1","ZONE 1A","Underscreed"
"f8e86852-17bd-4e6e-9415-266840c47992","","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","Underscreed","1A - F3 #1 "
"9501bbcf-6b32-4072-8c6e-41bb078043d7","","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","Underscreed","1A - F3 #2"
"76a1303c-e693-40db-a97a-0575efa03014","","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","Underscreed","1A - F3 #3 "
"d015bb88-a03c-47a4-9ae5-960d93d67813","","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","Underscreed","1A - F3 #4"
"ebd2b095-84f3-4fe5-9f2d-db823a035847","","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1A","Underscreed","SYM-PURL-PCON-1A-5 (F3)"
