resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,step,,,Fabrication & Site QA,,,,,,,,
,,,,,step,,,,Parapets ,,,,,,,
,,,,,step,,,,,PR-L12,,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-01,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-02,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-03,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-04,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-05,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-06,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-07,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-08,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-09,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-10,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-11,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-12,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-13,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-14,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-15,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-16,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-17,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-18,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-19,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-20,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-21,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-22,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-23,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-24,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-25,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-26,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-27,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-28,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-29,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-30,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-31,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-32,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-33,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-34,,,,,
Removal of Non-Compliant Panels,Fabrication,Receival of panels onsite Checklist,Base framing Checklist,Installation of panels Checklist,folder-with-checklists,,,,,,PR-L12-35,,,,,
