resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,step,,,Devonport Town Centre,,,,,,,,
"Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel",Devonport Town Centre - ITP - Stormwater Drainage,Devonport Town Centre - ITP - Raised Table,Devonport Town Centre - ITP - Ducting,Devonport Town Centre - ITP - Traffic Islands,Devonport Town Centre - ITP - Construction Works - Signage & E-Signage,folder-with-checklists,,,,Victoria Road (Site 1),,,,,,,
"Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel",Devonport Town Centre - ITP - Stormwater Drainage,Devonport Town Centre - ITP - Raised Table,Devonport Town Centre - ITP - Ducting,Devonport Town Centre - ITP - Traffic Islands,Devonport Town Centre - ITP - Construction Works - Signage & E-Signage,folder-with-checklists,,,,Calliope St (Site 2),,,,,,,
"Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel",Devonport Town Centre - ITP - Stormwater Drainage,Devonport Town Centre - ITP - Raised Table,Devonport Town Centre - ITP - Ducting,Devonport Town Centre - ITP - Traffic Islands,Devonport Town Centre - ITP - Construction Works - Signage & E-Signage,folder-with-checklists,,,,Kerr St Big (Site 3),,,,,,,
"Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel",Devonport Town Centre - ITP - Stormwater Drainage,Devonport Town Centre - ITP - Raised Table,Devonport Town Centre - ITP - Ducting,Devonport Town Centre - ITP - Traffic Islands,Devonport Town Centre - ITP - Construction Works - Signage & E-Signage,folder-with-checklists,,,,Kerr St Small (Site 4),,,,,,,
"Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel",Devonport Town Centre - ITP - Stormwater Drainage,Devonport Town Centre - ITP - Raised Table,Devonport Town Centre - ITP - Ducting,Devonport Town Centre - ITP - Traffic Islands,Devonport Town Centre - ITP - Construction Works - Signage & E-Signage,folder-with-checklists,,,,Victoria Rd Bus Pad (Site 5),,,,,,,
"Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel",Devonport Town Centre - ITP - Stormwater Drainage,Devonport Town Centre - ITP - Raised Table,Devonport Town Centre - ITP - Ducting,Devonport Town Centre - ITP - Traffic Islands,Devonport Town Centre - ITP - Construction Works - Signage & E-Signage,folder-with-checklists,,,,Flaggstaff Tce (Site 6),,,,,,,
"Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel",Devonport Town Centre - ITP - Stormwater Drainage,Devonport Town Centre - ITP - Raised Table,Devonport Town Centre - ITP - Ducting,Devonport Town Centre - ITP - Traffic Islands,Devonport Town Centre - ITP - Construction Works - Signage & E-Signage,folder-with-checklists,,,,Victoria Rd Library Speed Table (Site 7),,,,,,,
"Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel",Devonport Town Centre - ITP - Stormwater Drainage,Devonport Town Centre - ITP - Raised Table,Devonport Town Centre - ITP - Ducting,Devonport Town Centre - ITP - Traffic Islands,Devonport Town Centre - ITP - Construction Works - Signage & E-Signage,folder-with-checklists,,,,Victoira Rd Pram Crossing (Site 8),,,,,,,
"Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel",Devonport Town Centre - ITP - Stormwater Drainage,Devonport Town Centre - ITP - Raised Table,Devonport Town Centre - ITP - Ducting,Devonport Town Centre - ITP - Traffic Islands,Devonport Town Centre - ITP - Construction Works - Signage & E-Signage,folder-with-checklists,,,,King Edward Victoria Rd (Site 9),,,,,,,
"Devonport Town Centre - ITP - Enabling Works - Footpath, Kerb and channel",Devonport Town Centre - ITP - Stormwater Drainage,Devonport Town Centre - ITP - Raised Table,Devonport Town Centre - ITP - Ducting,Devonport Town Centre - ITP - Traffic Islands,Devonport Town Centre - ITP - Construction Works - Signage & E-Signage,folder-with-checklists,,,,King Edward Victoria Rd (Site 10),,,,,,,
