"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"36758309-3eb6-49f5-a479-0bd35f3dbc06","","folder-normal","","","step","TRUE","FALSE","Builders Works & Site Issues"
"9728e4d9-3c12-447d-8f0e-a7c804a4cc38","","checklist-flat","","1. Builders Works & Site Issues","checklist-flat","FALSE","FALSE","Builders Works & Site Issues","Builders Works & Site Issues"
"87997c0d-6ea5-49cc-ad68-d34e6be821a8","","checklist-flat","","3. Drafting & Design Issues","checklist-flat","FALSE","FALSE","Drafting & Design Issues"
"b5be44d7-edd9-4353-813c-71c6f196ebbb","","checklist-flat","","Defect","checklist-flat","FALSE","FALSE","Defects"
"697f6f98-46ac-489e-ada0-7964c9adf200","","folder-normal","","","step","TRUE","FALSE","AS Built Markups"
"bbef8596-38cb-448d-af72-cb4fe1440edb","","checklist-flat","","4. As Built Markups","checklist-flat","FALSE","FALSE","AS Built Markups","As Built Markups"
"69396dcc-fa8f-420d-86ce-5263a6b74e30","","checklist-flat","","Installation Overview","checklist-flat","FALSE","FALSE","Installation progress"
"786cf3e3-487c-4676-afcb-da8c13a714af","","checklist-flat","","Delivery Docket","checklist-flat","FALSE","FALSE","Delivery Dockets"
"b31540dc-e310-4e60-898c-942903f994c6","","folder-normal","","","step","TRUE","FALSE","QA"
"3aa245b2-49dd-46f5-9e51-90e19f870426","","folder-normal","","","step","TRUE","FALSE","QA","Ground"
"692b8d0b-c5c0-47ee-b0b2-f0ec7dff55fd","","folder-normal","","","step","TRUE","FALSE","QA","Ground","Stand Alone (Comms)"
"33f58b62-5482-4c9d-a8e6-73d9412600ba","","folder-normal","","","step","TRUE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall"
"7524974f-b6e9-4529-b801-4534eb5dcb0a","","folder-normal","","","step","TRUE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall","AC-G-IT.1"
"f1f3daf4-2041-458e-9edc-8eb3351fc11c","","checklist-flat","","AC High wall mounted Rough In","checklist-flat","FALSE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall","AC-G-IT.1","AC High wall mounted Rough In"
"27842266-3d6e-40c0-a557-76507a555289","","checklist-flat","","AC Outdoor unit (Stand Alone) Fit Off","checklist-flat","FALSE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall","AC-G-IT.1","AC Outdoor unit (Stand Alone) Fit Off"
"27ea8ea7-7e10-4c15-9f8c-ee401dd42a4c","","folder-normal","","","step","TRUE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall","AC-G-IT.2"
"4dd813e1-ea2c-466a-95c6-c521baa1cfb7","","checklist-flat","","AC High wall mounted Rough In","checklist-flat","FALSE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall","AC-G-IT.2","AC High wall mounted Rough In"
"21b52bb1-0204-48e2-8387-e249b5081876","","checklist-flat","","AC Outdoor unit (Stand Alone) Fit Off","checklist-flat","FALSE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall","AC-G-IT.2","AC Outdoor unit (Stand Alone) Fit Off"
"4fef2eb2-e0e0-4a31-adc3-fbe22f80dfd9","","folder-normal","","","step","TRUE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall","AC-G-IT.3"
"4ca14a53-5050-4747-b980-b765466129ea","","checklist-flat","","AC High wall mounted Rough In","checklist-flat","FALSE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall","AC-G-IT.3","AC High wall mounted Rough In"
"40535413-5e1b-4d3c-a150-7fbbd7144f95","","checklist-flat","","AC Outdoor unit (Stand Alone) Fit Off","checklist-flat","FALSE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall","AC-G-IT.3","AC Outdoor unit (Stand Alone) Fit Off"
"8c713b46-3093-4942-a847-bc13f455851e","","folder-normal","","","step","TRUE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall","AC-GS"
"96368664-4a4c-4543-a23f-fbd0165a23e0","","checklist-flat","","AC High wall mounted Rough In","checklist-flat","FALSE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall","AC-GS","AC High wall mounted Rough In"
"64dc699e-2667-485f-8f5e-d3f7e77203cc","","checklist-flat","","AC Outdoor unit (Stand Alone) Fit Off","checklist-flat","FALSE","FALSE","QA","Ground","Stand Alone (Comms)","Hi Wall","AC-GS","AC Outdoor unit (Stand Alone) Fit Off"
"bb10da01-2e13-44df-a1e2-b16171eeb609","","folder-normal","","","step","TRUE","FALSE","QA","Ground","CU-G.1"
"c0c2374d-0950-4cc8-b297-653ddbdd558c","","folder-normal","","","step","TRUE","FALSE","QA","Ground","CU-G.1","Hi Wall"
"e2796284-c2f9-4577-b0d2-3b70ac4c7faf","","checklist-flat","","AC High wall mounted Rough In","checklist-flat","FALSE","FALSE","QA","Ground","CU-G.1","Hi Wall","AC-1.01"
"a1caecd9-7ad7-413f-8cc0-e2196902f307","","checklist-flat","","AC High wall mounted Rough In","checklist-flat","FALSE","FALSE","QA","Ground","CU-G.1","Hi Wall","AC-1.2"
"a5339c43-2eb7-483a-9903-c0bc11c00264","","checklist-flat","","AC High wall mounted Rough In","checklist-flat","FALSE","FALSE","QA","Ground","CU-G.1","Hi Wall","AC-1.3"
"b485b97e-1baf-4abb-95f8-bcb707dedd6e","","checklist-flat","","AC High wall mounted Rough In","checklist-flat","FALSE","FALSE","QA","Ground","CU-G.1","Hi Wall","AC-1.4"
"6407e827-e75f-41c6-b39b-5e184dabedba","","checklist-flat","","AC High wall mounted Rough In","checklist-flat","FALSE","FALSE","QA","Ground","CU-G.1","Hi Wall","AC-1.5"
"3c30760c-cbe4-4137-bce4-d804e997ee56","","checklist-flat","","AC High wall mounted Rough In","checklist-flat","FALSE","FALSE","QA","Ground","CU-G.1","Hi Wall","AC-1.6"
"519fb5c2-2f98-4987-943d-458c48a66022","","checklist-flat","","AC High wall mounted Rough In","checklist-flat","FALSE","FALSE","QA","Ground","CU-G.1","Hi Wall","AC-1.7"
