resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
AC Ducted Unit Rough In,checklist,,,,,,,AC-G4.6,,,,
,step,,,,,,Branch Box,,,,,
,step,,,,,,,BS-4,,,,
AC Branch Box Rough In,checklist,,,,,,,,AC Branch Box Rough In,,,
Branch Box Pipe & Drains,checklist,,,,,,,,Branch Box Pipe & Drains,,,
,step,,,,,,Outdoor Unit ,,,,,
AC Outdoor unit (VRV) Fit Off,checklist,,,,,,,CU-G.4,,,,
,step,,,,,,SAF Fan (Cassette) ,,,,,
Fans Rough In,checklist,,,,,,,SAF-G4.1,,,,
Fans Rough In,checklist,,,,,,,SAF-G4.2,,,,
Fans Rough In,checklist,,,,,,,SAF-G4.3,,,,
Fans Rough In,checklist,,,,,,,SAF-G4.4,,,,
,step,,,,,CU-G.5,,,,,,
,step,,,,,,Hi Wall ,,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-3.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-3.02,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-3.03,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-3.04,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-3.05,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-3.06,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-3.07,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-3.08,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-G5.2,,,,
,step,,,,,,Cassette,,,,,
Cassette Rough In,checklist,,,,,,,AC-G5.3,,,,
Cassette Rough In,checklist,,,,,,,AC-G5.5,,,,
,step,,,,,,Ducted ,,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-G5.1,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-G5.4,,,,
,step,,,,,,Branch Box,,,,,
,step,,,,,,,BS-5,,,,
AC Branch Box Rough In,checklist,,,,,,,,AC Branch Box Rough In,,,
Branch Box Pipe & Drains,checklist,,,,,,,,Branch Box Pipe & Drains,,,
,step,,,,,,Outdoor Unit ,,,,,
AC Outdoor unit (VRV) Fit Off,checklist,,,,,,,CU-G.5,,,,
,step,,,,,AC-G.6,,,,,,
,step,,,,,,Hi Wall ,,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-2.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-2.02,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-2.03,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-2.04,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-2.05,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-2.06,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-2.07,,,,
AC High wall mounted Rough In,checklist,,,,,,,AC-2.08,,,,
,step,,,,,,Cassette,,,,,
Cassette Rough In,checklist,,,,,,,AC-G6.2,,,,
,step,,,,,,Ducted ,,,,,
AC Ducted Unit Rough In,checklist,,,,,,,AC-G6.1,,,,
,step,,,,,,Branch Box,,,,,
,step,,,,,,,BS-8,,,,
AC Branch Box Rough In,checklist,,,,,,,,AC Branch Box Rough In,,,
Branch Box Pipe & Drains,checklist,,,,,,,,Branch Box Pipe & Drains,,,
,step,,,,,,Outdoor Unit ,,,,,
AC Outdoor unit (VRV) Fit Off,checklist,,,,,,,CU-G.6,,,,
,step,,,,,Fans,,,,,,
,step,,,,,,Exhaust Fan ,,,,,
Fans Rough In,checklist,,,,,,,EF-G.1,,,,
Fans Rough In,checklist,,,,,,,EF-G.2,,,,
Fans Rough In,checklist,,,,,,,EF-G.3,,,,
Fans Rough In,checklist,,,,,,,EF-G.4,,,,
Fans Rough In,checklist,,,,,,,EF-G.5,,,,
Fans Rough In,checklist,,,,,,,EF-G.6,,,,
Fans Rough In,checklist,,,,,,,EF-G.7,,,,
Fans Rough In,checklist,,,,,,,EF-G.10,,,,
Fans Rough In,checklist,,,,,,,EF-G.9,,,,
Fans Rough In,checklist,,,,,,,EF-G.10,,,,
,step,,,,,,Kitchen Fan ,,,,,
Fans Rough In,checklist,,,,,,,KEF-1,,,,
,step,,,,,,Evaporative Cooler,,,,,
Evap Cooler Rough In,checklist,,,,,,,EC-1,,,,
,step,,,,,,Laundry OA Intake ,,,,,
Ductwork Rough In,checklist,,,,,,,EF-G.3 OA Intake,,,,
Ductwork Rough In,checklist,,,,,,,EF-G.10 OA Intake,,,,
,step,,,,,,RangeHood Run Only ,,,,,
Rangehood Rough In,checklist,,,,,,,Kitchen 1.09,,,,
Rangehood Rough In,checklist,,,,,,,Kitchen 2.09,,,,
Rangehood Rough In,checklist,,,,,,,Kitchen 3.09,,,,
,step,,,,Level 1 ,,,,,,,
,step,,,,,Stand Alone (Comms),,,,,,
,step,,,,,,Hi Wall ,,,,,
,step,,,,,,,AC-G-IT-1.1,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC Outdoor unit (Stand Alone) Fit Off,checklist,,,,,,,,AC Outdoor unit (Stand Alone) Fit Off,,,
,step,,,,,,,AC-G-IT1.2,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC Outdoor unit (Stand Alone) Fit Off,checklist,,,,,,,,AC Outdoor unit (Stand Alone) Fit Off,,,
,step,,,,,CU-1.1,,,,,,
,step,,,,,,Hi Wall ,,,,,
,step,,,,,,,AC-4.01,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC High wall mounted Fit Off,checklist,,,,,,,,AC High wall mounted Fit Off,,,
,step,,,,,,,AC-4.02,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC High wall mounted Fit Off,checklist,,,,,,,,AC High wall mounted Fit Off,,,
,step,,,,,,,AC-4.03,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC High wall mounted Fit Off,checklist,,,,,,,,AC High wall mounted Fit Off,,,
,step,,,,,,,AC-4.04,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
AC High wall mounted Fit Off,checklist,,,,,,,,AC High wall mounted Fit Off,,,
,step,,,,,,,AC-4.05,,,,
AC High wall mounted Rough In,checklist,,,,,,,,AC High wall mounted Rough In,,,
