resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4
SYS - PT - Overall Pre-start,checklist-flat,FALSE,FALSE,Overall Pre-start,,,
,folder-normal,TRUE,FALSE,QA,,,
,folder-normal,TRUE,FALSE,Roof Access Requirements,,,
,folder-normal,TRUE,FALSE,Data Plate & Access Point,,,
,folder-normal,TRUE,FALSE,Installation Certification PC,,,
SYS - PT - Practical Completion,checklist-flat,FALSE,FALSE,Practical Completion,,,
