"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c2b4352b-5cd7-4b5e-87e7-e035a3872231","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"d1f4f1e2-0ff1-41d8-b625-b1ce435a4722","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basements"
"60b026af-512d-4e11-9902-a83fddb87527","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basements","B4"
"e8a59001-f7a6-4f6f-8914-540c81161f51","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basements","B3"
"187d415c-5bdb-47e1-932a-9c4e5240c4b3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basements","B2"
"f7c4d151-8c10-4399-88ac-d2a95e515d69","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basements","B1"
"cabdc20d-578f-4fc1-ab09-2ac435656cdb","","checklist-flat","not-started","385a2704e3f988a18cbf4b538416f4ec3170946039df983f93f7eff464d21da6","checklist-flat","FALSE","FALSE","Site QA","Ground"
"627286b7-b41b-45b7-9942-d3e1c500e92a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Office Floors"
"c11d4c74-1dd4-4991-b199-ebe9e997920b","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 1"
"744d5e3f-d809-4d9e-8163-ea586ff903d2","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 2"
"f701f71c-7db9-422f-ae63-c5673f8799e1","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 3"
"4019de5c-31d5-4a91-8535-48f5ac10a156","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 4"
"70430d72-2bdf-4484-8507-ac8fbb5a8c64","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 5"
"a1e2d4e6-e27c-479d-b2c2-d98f073fb0c4","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 6"
"18d7c52b-e641-429f-802e-2a7ef5c8ec36","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 7"
"3ecbd0c4-c0a0-49f2-8f34-808a4445c363","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 8"
"8a300b1d-affd-4a5b-9344-eca1ecbd6bbb","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 9"
"66804954-0870-44c4-844f-33d5152885a5","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 10"
"be40b791-f725-4436-9e3c-6e99eec81f1f","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 11"
"62161ca6-c82a-4708-80b1-d601ba403629","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 12"
"21791fd0-ffb3-4755-b949-8a49114a7629","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 14"
"9fd42338-52e4-4fd4-9c73-22386d2d40e5","","checklist-flat","not-started","5f1b9bab2dba59e2ec1832180e1cdaf31a9b00ad4c7adc624556ff40eccb5e65","checklist-flat","FALSE","FALSE","Site QA","Office Floors","Level 15"
