"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4d8de8a9-fe4c-4619-bdc5-6fed96e234c8","","work-in-progress","","folder","TRUE","FALSE","Block E"
"ec4c7289-c4f2-493c-85e6-24badafc7a98","","work-in-progress","","folder","TRUE","FALSE","Block E","Ground"
"f56194a8-5288-4f45-8d44-4cb288126849","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP01"
"edbc3405-8cca-42e1-beac-e854dcaef307","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP02"
"84bbb3f4-1b37-4f95-9389-8fcf75d885b1","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP03"
"b916ba26-778a-476e-9e70-9e902d765853","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP04"
"12ab0054-808b-4664-8995-c0c9d8204fc7","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP05"
"7aaf1fb5-5512-43a1-93fe-6fcad2101105","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP06"
"4fe2a3aa-8913-48f8-bfe7-09173fc3d9e2","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP07"
"c9b4cfda-287c-4bd2-b58e-f300507c0a8e","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP08"
"a07f49d1-1af7-45e8-8da3-28b22a6b333f","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP09"
"4484d0a1-0977-44cf-a29c-081d3d3aeab5","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP10"
"6b6e5648-3fb8-4437-a771-82a7c909f45f","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP11"
"18769dc8-da2c-42ae-a16e-39429328aa4c","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP12"
"f3981732-6508-4a5b-89e8-f658c865e64d","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP13"
"bb10b9de-473c-4e06-9c40-3a592d6f2cad","","work-in-progress","Commercial Projects Checklist V6 - Q053","checklist","FALSE","FALSE","Block E","Ground","EGFP14"
