"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7bd1ed06-45bc-4865-9c7c-9153bf8b573b","","folder-normal","work-in-progress","","step","TRUE","FALSE","CC0399"
"2bb327fb-4c8e-4702-954a-8a8365da0449","","folder-normal","pass","","step","TRUE","FALSE","CC0399","CC0399 - ITP-002 - Site Clearing"
"15e568e1-6bab-481f-8e6f-87561c18b4ab","","checklist-sectioned","pass","25900429fc0f6c7eb4f0b49feea611fa8634e446afe8ee7ed40cb14c84fd535b","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-002 - Site Clearing","SYM-CC0399-ITP-002-LOT-002 - Site Access Road 1 CH00 - CH280"
"00e9c2d2-b092-4736-8d76-0966109b3f5e","","checklist-sectioned","pass","CC0399 - ITP-002 - Site Clearing","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-002 - Site Clearing","SYM-CC0399-ITP-002-LOT-004 - Site access road 2 CH280 - CH560"
"f07938a2-6b63-4dcb-9f76-92507c30dc5f","","checklist-sectioned","pass","CC0399 - ITP-002 - Site Clearing","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-002 - Site Clearing","SYM-CC0399-ITP-002-LOT-005 - Laydown area 1"
"70169dae-8f51-46f2-a44c-a87fce49404c","","checklist-sectioned","pass","CC0399 - ITP-002 - Site Clearing","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-002 - Site Clearing","SYM-CC0399-ITP-002-LOT-006 - Laydown and surrounding area"
"752732e3-ea64-4500-8d7a-06ce67274a89","","checklist-sectioned","pass","CC0399 - ITP-002 - Site Clearing","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-002 - Site Clearing","SYM-CC0399-ITP-002-LOT-007 - Bess Area 1"
"38c147a9-218b-4551-ac3f-c37f7ffff901","","checklist-sectioned","pass","CC0399 - ITP-002 - Site Clearing","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-002 - Site Clearing","SYM-CC0399-ITP-002-LOT-008 - Bess A2"
"dcd2c98e-def4-49f7-975b-c416ba841e85","","checklist-sectioned","pass","CC0399 - ITP-002 - Site Clearing","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-002 - Site Clearing","SYM-CC0399-ITP-002-LOT-009 - Bess A3"
"1867e411-c779-4ecf-b860-ebe418dab65f","","folder-normal","work-in-progress","","step","TRUE","FALSE","CC0399","CC0399 - ITP-003 - Bulk Earthworks"
"91f2050a-eaff-4d72-b1ba-007c030a72c6","","checklist-sectioned","work-in-progress","fa4aaa6af53b325741ffebecd5a26f06f6b08293b54c4ceec8d1c3d55d4e0f12","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-003 - Bulk Earthworks","SYM-CC0399-ITP-005-LOT-003 - Access road Entrance"
"54b2b6b0-e26b-4843-b339-1ac148d0d9e4","","checklist-sectioned","work-in-progress","CC0399 - ITP-003 - Bulk Earthworks","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-003 - Bulk Earthworks","SYM-CC0399-ITP-003-LOT-001 - Access road ch10-280"
"52b49504-5906-43cb-98ac-3769b8acfc5d","","checklist-sectioned","work-in-progress","CC0399 - ITP-003 - Bulk Earthworks","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-003 - Bulk Earthworks","SYM-CC0399-ITP-003-LOT-002 -Laydown Area 1"
"9d05d3fc-ab3d-40c7-a4ca-f15589f0307a","","checklist-sectioned","work-in-progress","CC0399 - ITP-003 - Bulk Earthworks","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-003 - Bulk Earthworks","SYM-CC0399-ITP-003-LOT-003 - Access Road 280-480"
"dc23de5f-7957-44c5-8e60-d8ca9150b741","","checklist-sectioned","work-in-progress","CC0399 - ITP-003 - Bulk Earthworks","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-003 - Bulk Earthworks","SYM-CC0399-ITP-003-LOT-004 - Main Access Road - 480-560"
"b8815b39-4bf5-4f18-b297-bd5d7c75234a","","checklist-sectioned","work-in-progress","CC0399 - ITP-003 - Bulk Earthworks","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-003 - Bulk Earthworks","SYM-CC0399-ITP-003-LOT-011 - Substation -1"
"c1e3b48a-ecd9-4488-9fac-da334f0f469a","","checklist-sectioned","work-in-progress","CC0399 - ITP-003 - Bulk Earthworks","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-003 - Bulk Earthworks","SYM-CC0399-ITP-003-LOT-012 - Substation-2"
"4e89aa28-4146-4a84-bba3-52a669e032ff","","checklist-sectioned","work-in-progress","CC0399 - ITP-003 - Bulk Earthworks","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-003 - Bulk Earthworks","SYM-CC0399-ITP-003-LOT-013 - West Detention"
"f66ad258-ce78-424f-b8ce-c43be04f8c08","","folder-normal","work-in-progress","","step","TRUE","FALSE","CC0399","CC0399 - ITP-005 - Crushed Rock Pavement Construction"
"8a51d8d0-1bb4-451d-b075-18f8c1896f02","","checklist-sectioned","not-started","fa4aaa6af53b325741ffebecd5a26f06f6b08293b54c4ceec8d1c3d55d4e0f12","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-005 - Crushed Rock Pavement Construction","CC0399 - ITP-005 - Crushed Rock Pavement Construction"
"754fcbc4-9cd1-4855-a890-9e0cf06bc9d6","","checklist-sectioned","work-in-progress","fa4aaa6af53b325741ffebecd5a26f06f6b08293b54c4ceec8d1c3d55d4e0f12","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-005 - Crushed Rock Pavement Construction","CC0399 - ITP-005 - Crushed Rock Pavement Construction - Cross Over"
"fa494972-83ce-4326-94bb-8a019431d84b","","checklist-sectioned","pass","fa4aaa6af53b325741ffebecd5a26f06f6b08293b54c4ceec8d1c3d55d4e0f12","checklist","FALSE","FALSE","CC0399","CC0399 - ITP-005 - Crushed Rock Pavement Construction","SYM-CC0399-ITP-005-LOT-004 - Laydown Area 1 - CL3"
