Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Rough In,,,,,,,
,Scope,,,Rough In,,,
,Rows,,,,,,
,,Hydraulics / Plumbing - Level 1,dynamic,Level 1,Hydraulics / Plumbing,Rough In,Site QA
,,Hydraulics / Plumbing - Level 2,dynamic,Level 2,Hydraulics / Plumbing,Rough In,Site QA
,,Wet Fire - Level 1,dynamic,Level 1,Wet Fire,Rough In,Site QA
,,Wet Fire - Level 2,dynamic,Level 2,Wet Fire,Rough In,Site QA
,,Dry Fire - Level 1,dynamic,Level 1,Dry Fire,Rough In,Site QA
,,Dry Fire - Level 2,dynamic,Level 2,Dry Fire,Rough In,Site QA
,,HVAC - Level 1,dynamic,Level 1,HVAC,Rough In,Site QA
,,HVAC - Level 2,dynamic,Level 2,HVAC,Rough In,Site QA
,,Elec - Power - Level 1,dynamic,Level 1,Elec - Power,Rough In,Site QA
,,Elec - Power - Level 2,dynamic,Level 2,Elec - Power,Rough In,Site QA
,,Elec - Lighting - Level 1,dynamic,Level 1,Elec - Lighting,Rough In,Site QA
,,Elec - Lighting - Level 2,dynamic,Level 2,Elec - Lighting,Rough In,Site QA
,,Comms - Level 1,dynamic,Level 1,Comms,Rough In,Site QA
,,Comms - Level 2,dynamic,Level 2,Comms,Rough In,Site QA
,Columns,,,,,,
,,Rough In Complete,,Rough In Complete,,,
,,,,,,,
Fit Off,,,,,,,
,Scope,,,Fit Off,,,
,Rows,,,,,,
,,Hydraulics / Plumbing - Level 1,dynamic,Level 1,Hydraulics / Plumbing,Fit Off,Site QA
,,Hydraulics / Plumbing - Level 2,dynamic,Level 2,Hydraulics / Plumbing,Fit Off,Site QA
,,Wet Fire - Level 1,dynamic,Level 1,Wet Fire,Fit Off,Site QA
,,Wet Fire - Level 2,dynamic,Level 2,Wet Fire,Fit Off,Site QA
,,Dry Fire - Level 1,dynamic,Level 1,Dry Fire,Fit Off,Site QA
,,Dry Fire - Level 2,dynamic,Level 2,Dry Fire,Fit Off,Site QA
,,HVAC - Level 1,dynamic,Level 1,HVAC,Fit Off,Site QA
,,HVAC - Level 2,dynamic,Level 2,HVAC,Fit Off,Site QA
,,Elec - Power - Level 1,dynamic,Level 1,Elec - Power,Fit Off,Site QA
,,Elec - Power - Level 2,dynamic,Level 2,Elec - Power,Fit Off,Site QA
,,Elec - Lighting - Level 1,dynamic,Level 1,Elec - Lighting,Fit Off,Site QA
,,Elec - Lighting - Level 2,dynamic,Level 2,Elec - Lighting,Fit Off,Site QA
,,Comms - Level 1,dynamic,Level 1,Comms,Fit Off,Site QA
,,Comms - Level 2,dynamic,Level 2,Comms,Fit Off,Site QA
,Columns,,,,,,
,,Approved for Sheeting/Closure,,Approved for Sheeting/Closure,,,
,,Fit Off Complete,,Fit Off Complete,,,
,,,,,,,
Rough In (Federated),,,,,,,
,Scope,,,,,,
,Rows,,,,,,
,,Level 1,grouping,Level 1,,,
,,Zone 6,,Zone 6,Level 1,,
,,Zone 9,,Zone 9,Level 1,,
,,Zone 10,,Zone 10,Level 1,,
,,Zone 11,,Zone 11,Level 1,,
,,Level 2,grouping,Level 2,,,
,,Zone 6,,Zone 6,Level 2,,
,,Zone 9,,Zone 9,Level 2,,
,,Zone 10,,Zone 10,Level 2,,
,,Zone 11,,Zone 11,Level 2,,
,Columns,,,,,,
,,Scentre Group - Rough In (Hydraulics / Plumbing),,Scentre Group - Knox Redevelopment Stage 3 & 4,Hydraulics / Plumbing,Rough In,
,,Scentre Group - Rough In (Wet Fire),,Scentre Group - Knox Redevelopment Stage 3 & 4,Wet Fire,Rough In,
,,Scentre Group - Rough In (Dry Fire),,Scentre Group - Knox Redevelopment Stage 3 & 4,Dry Fire,Rough In,
,,Scentre Group - Rough In (HVAC),,Scentre Group - Knox Redevelopment Stage 3 & 4,HVAC,Rough In,
,,Scentre Group - Rough In (Elec - Power),,Scentre Group - Knox Redevelopment Stage 3 & 4,Elec - Power,Rough In,
,,Scentre Group - Rough In (Elec - Lighting),,Scentre Group - Knox Redevelopment Stage 3 & 4,Elec - Lighting,Rough In,
,,Scentre Group - Rough In (Comms),,Scentre Group - Knox Redevelopment Stage 3 & 4,Comms,Rough In,
,,Fredon - In Ground Works,,Fredon VIC - Knox Redevelopment Stage 3 & 4,In Ground Works,,
,,Fredon - Light & Power Rough In,,Fredon VIC - Knox Redevelopment Stage 3 & 4,Light & Power Rough In,,
,,Fredon - In Slab Works,,Fredon VIC - Knox Redevelopment Stage 3 & 4,In Slab Works,,
,,Premier Services Group - Sprinkler Pipe Installation,,Premier Services Group - Knox Redevelopment Stage 3 & 4,Sprinkler Pipe Installation,,
,,Premier Services Group - Fire Detection Installation,,Premier Services Group - Knox Redevelopment Stage 3 & 4,Fire Detection Installation,,
,,Highbury Plumbing - Storm Water (suspended),,Highbury Plumbing - Knox Redevelopment Stage 3 & 4,Storm Water (suspended),Suspended Drainage Services,
,,Highbury Plumbing - Sewer (suspended),,Highbury Plumbing - Knox Redevelopment Stage 3 & 4,Sewer (suspended),Suspended Drainage Services,
,,Highbury Plumbing - Cold Water Rough In,,Highbury Plumbing - Knox Redevelopment Stage 3 & 4,Cold Water,Rough In Water Services,
,,Highbury Plumbing - Hot Water Rough In,,Highbury Plumbing - Knox Redevelopment Stage 3 & 4,Hot Water,Rough In Water Services,
,,,,,,,
Fit Off (Federated),,,,,,,
,Scope,,,,,,
,Rows,,,,,,
,,Level 1,grouping,Level 1,,,
,,Zone 6,,Zone 6,Level 1,,
,,Zone 9,,Zone 9,Level 1,,
,,Zone 10,,Zone 10,Level 1,,
,,Zone 11,,Zone 11,Level 1,,
,,Level 2,grouping,Level 2,,,
,,Zone 6,,Zone 6,Level 2,,
,,Zone 9,,Zone 9,Level 2,,
,,Zone 10,,Zone 10,Level 2,,
,,Zone 11,,Zone 11,Level 2,,
,Columns,,,,,,
,,Scentre Group - Fit Off (Hydraulics / Plumbing),,Scentre Group - Knox Redevelopment Stage 3 & 4,Hydraulics / Plumbing,Fit Off,
,,Scentre Group - Fit Off (Wet Fire),,Scentre Group - Knox Redevelopment Stage 3 & 4,Wet Fire,Fit Off,
,,Scentre Group - Fit Off (Dry Fire),,Scentre Group - Knox Redevelopment Stage 3 & 4,Dry Fire,Fit Off,
,,Scentre Group - Fit Off (HVAC),,Scentre Group - Knox Redevelopment Stage 3 & 4,HVAC,Fit Off,
