"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"416372f5-c273-4a25-952a-6b279f3e408a","","","","folder","TRUE","FALSE","Entire Village"
"0c4acb47-b712-41be-ae69-badac0041623","","","Entire Village - Fire to Nurse Call interface test","checklist","FALSE","FALSE","Entire Village","1. Fire to Nurse Call interface test"
"6d98ac7f-6e53-480e-9522-9fd9e9a2b40c","","","","folder","TRUE","FALSE","SCU"
"f88e347c-470b-48bf-8b9d-2ad5cc0be26a","","","SCU - Display - SCU Lounge","checklist","FALSE","FALSE","SCU","5. Display - SCU Lounge"
"059ddc9c-8d8c-48c2-b75a-83b3c986ef8e","","","SCU - 402/424","checklist","FALSE","FALSE","SCU","6. SCU - 402"
"fea5326b-e978-41db-9134-283fe6cbfec0","","","SCU - 404","checklist","FALSE","FALSE","SCU","7. SCU - 404"
"ca2c1123-db1d-4f83-bb8c-4ab856b9a491","","","SCU - 405","checklist","FALSE","FALSE","SCU","8. SCU - 405"
"35c41040-fbad-4ff3-acf2-535db6cab910","","","SCU - 406","checklist","FALSE","FALSE","SCU","9. SCU - 406"
"d6d310dc-b06a-4f57-bd2c-eda8f8ae3eb3","","","SCU - 408/411","checklist","FALSE","FALSE","SCU","10. SCU - 408"
"39decb27-705f-4794-8f6f-6636be9d9335","","","SCU - 408/411","checklist","FALSE","FALSE","SCU","11. SCU - 411"
"1f0d6d29-ebcc-43f8-987a-b7f1ea9c5b45","","","SCU - 402/424","checklist","FALSE","FALSE","SCU","12. SCU - 424"
"d145eb34-1c30-4688-a2ad-9e48c5fc5f1b","","","SCU - 429","checklist","FALSE","FALSE","SCU","13. SCU - 429"
"8ad66a44-3921-4dad-a537-2b582a2e5626","","","","folder","TRUE","FALSE","Serviced Apartments"
"0c064e50-57be-491f-9b29-9a3a28648830","","","Serviced Apartments - 110","checklist","FALSE","FALSE","Serviced Apartments","14. Serviced Apartment - 110"
"824adc39-3c6c-4e13-8998-9f3bf0fc4007","","","Serviced Apartments - 112/205","checklist","FALSE","FALSE","Serviced Apartments","15. Serviced Apartment - 112"
"9e5882ce-838d-4ebc-bf44-ff45d24e16a3","","","Serviced Apartments - 114/308","checklist","FALSE","FALSE","Serviced Apartments","16. Serviced Apartment - 114"
"482634ff-3e85-49df-9a78-11157c25553d","","","Serviced Apartments - 204","checklist","FALSE","FALSE","Serviced Apartments","17. Serviced Apartment - 204"
"542e5ab8-9ca7-42b9-9c43-d2f826d4674e","","","Serviced Apartments - 112/205","checklist","FALSE","FALSE","Serviced Apartments","18. Serviced Apartment - 205"
"dd6a50a7-9370-4bd6-ad3a-4dc26607d9e3","","","Serviced Apartments - 206/210","checklist","FALSE","FALSE","Serviced Apartments","19. Serviced Apartment - 206"
"a1e6fb07-28c2-4840-a099-c8f11f891ca2","","","Serviced Apartments - 206/210","checklist","FALSE","FALSE","Serviced Apartments","20. Serviced Apartment - 210"
"966715a2-4e6d-431a-a1b3-5a2ad093c328","","","Serviced Apartments - 114/308","checklist","FALSE","FALSE","Serviced Apartments","21. Serviced Apartment - 308"
