type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Serviced Apartments - 110,,,,,,,
section,Details,,,,,,,
checkpoint,"Check reassurance LED on Bedroom and WC Call Points, very dim and hardly visible (Attach Photos)",,,,,,,
,,,,,,,,
checklist,Serviced Apartments - 112/205,,,,,,,
section,Details,,,,,,,
checkpoint,"Check Staff Assist alarm, it's not working (Attach Photos)",,,,,,,
,,,,,,,,
checklist,Serviced Apartments - 114/308,,,,,,,
section,Details,,,,,,,
checkpoint,"Check Shower Pull Cord reassurance LED, it's not working (Attach Photos)",,,,,,,
,,,,,,,,
checklist,Serviced Apartments - 204,,,,,,,
section,Details,,,,,,,
checkpoint,"Check Short-Range wireless pendant, as it failed (Attach Photos)",,,,,,,
,,,,,,,,
checklist,Serviced Apartments - 206/210,,,,,,,
section,Details,,,,,,,
checkpoint,Check Alarm generated by Bedhead Call Point - generating Resident Call when it should be Emergency Alarm (Attach Photos),,,,,,,
,,,,,,,,
checklist,Serviced Apartments - 315,,,,,,,
section,Details,,,,,,,
checkpoint,"Check Shower Pull Cord, it gets stuck during pull test and needs to be manually pushed back to reset the alarm (Attach Photos)",,,,,,,
,,,,,,,,
checklist,Serviced Apartments/Independent Apartments Everest - 318/266,,,,,,,
section,Details,,,,,,,
checkpoint,Check ODL - brightness is very low and hardly visible (Attach Photos),,,,,,,
,,,,,,,,
checklist,Serviced Apartments - 320,,,,,,,
section,Details,,,,,,,
checkpoint,"Check Shower Pull Cord, as it failed (Attach Photos)",,,,,,,
checkpoint,"Check Short-Range pendant, as it fails intermittently (Attach Photos)",,,,,,,
