Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,Partition Walls,,,,,Yes,Partition Walls Checklist,c3ebac39-700d-44d9-a13d-ece39c7de302
checkpoint-status,,,checkpoint,Set out and Top track installed,,,,,,,
checkpoint-status,,,checkpoint,Install stud framing,,,,,,,
checkpoint-status,,,checkpoint,Install door frames,,,,,,,
checkpoint-status,,,checkpoint,Install noggins,,,,,,,
checkpoint-status,,,checkpoint,Sheet first side and install insulation,,,,,,,
checkpoint-status,,,checkpoint,Sheet second side,,,,,,,
checkpoint-status,,,checkpoint,Caulk walls,,,,,,,
checkpoint-status,,,checkpoint,Stop and sand,,,,,,,
checkpoint-status,,,checkpoint,Install skirting,,,,,,,
