Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,,
3829c069-f77c-5bfd-836d-9741bf587f3a,,checkpoint-status,not-started,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 3,3A,Balcony Wall - Framing and Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
70fb309e-83f6-592e-856c-b0eccebc01ef,,checkpoint-status,not-started,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 3,3B,Balcony Wall - Framing and Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
9ca600ca-31a9-5949-b98d-8c275f5d332d,,checkpoint-status,not-started,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 3,3C,Balcony Wall - Framing and Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
76c47a73-c9b4-54dd-9729-71bccf00594e,,checkpoint-status,not-started,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 3,3D,Balcony Wall - Framing and Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
f59adadd-a9ba-561a-b97a-0f173fa3e4d1,,checkpoint-status,not-started,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 3,3E,Balcony Wall - Framing and Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
cee1621e-228e-55a1-a40f-40c564c7c548,,checkpoint-status,not-started,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 3,3F,Balcony Wall - Framing and Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
7ecad452-fb3c-57a6-ae98-0290ac7e8296,,checkpoint-status,not-started,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 3,3G,Balcony Wall - Framing and Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
8e406b57-8b1c-588d-b871-3a730e4cc8e5,,checkpoint-status,not-started,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 3,3H,Balcony Wall - Framing and Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
8fbb644e-9fa8-550c-b083-d76c807a9209,,checkpoint-status,not-started,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 3,OMKT Corridor,Garbage Room Wall Framing & Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
66d09c07-17c8-5070-9812-122a16f31215,,checkpoint-status,not-started,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 3,KWH Corridor,Garbage Room Wall Framing & Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
9558abac-5945-5eb8-8350-4938a6a4053a,,checkpoint-status,not-applicable,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 5,5A,Wall Framing & Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
9031e6e0-3b3a-5f01-a65f-969150da306c,,checkpoint-status,not-started,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 5,5A,Balcony Wall - Framing and Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
e5351bec-d1ac-587c-b679-e6be373831ce,,checkpoint-status,not-applicable,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 5,5B,Wall Framing & Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
18c87a57-d426-561e-8342-d1bc7363a4b0,,checkpoint-status,not-started,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 5,5B,Balcony Wall - Framing and Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
722227ab-ae2a-5677-9808-0692ee0af875,,checkpoint-status,not-applicable,af2722824b60dace5f33118abc34c6b41ed5a7c1e7ebcb687f2b9863de2e28fa:36e1de37-27a6-4b1a-94fc-0e799043dd00:06506261-11f4-4315-9424-69eae5726d3b,,TRUE,TRUE,Site QA,Level 5,5C,Wall Framing & Sheeting,Wall Framing,Allowance for access panels and service penetration,,,,,,,
