"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overview Matrix"
,"Scope",,
,"Rows"
,,"Level 19","dynamic","level 19"
,"Columns"
,,"As Built",,"as built"
,,"Ductwork",,"ductwork"
,,"Pipework",,"pipework"
,,"Equipment",,"equipment"
,,"Chilled beams",,"chilled beams"
,,"Valves",,"valves"
,,"Drain(condensation pumps)",,"drain(condensation pumps)"
,,"Flex Duct",,"flex duct"
,,"Cushion box",,"cushion box"
,,"Seisimic check",,"seisimic check"
,,"Fit Off",,"fit off"
,,"Mech-elec",,"mech-elec"
,,"Commissioning",,"commissioning"

