"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Level 4",,"level 4"
,,"Level 5",,"level 5"
,,"Level 6",,"level 6"
,"Columns"
,,"As Built",,"as built"
,,"Ductwork",,"ductwork"
,,"Pipework",,"pipework"
,,"Equipment",,"equipment"
,,"Valves",,"valves"
,,"Drain(condensation pumps)",,"drain(condensation pumps)"
,,"Flex Duct",,"flex duct"
,,"Cushion box",,"cushion box"
,,"Seismic check",,"seismic check"
,,"Fit Off",,"fit off"
,,"Mech-elec",,"mech-elec"
,,"Commissioning",,"commissioning"

