"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overview Matrix"
,"Scope",,
,"Rows"
,,"Level 22","dynamic","level 22"
,"Columns"
,,"As Built",,"as built"
,,"Ductwork",,"ductwork"
,,"Pipework",,"pipework"
,,"Equipment",,"equipment"
,,"Valves",,"valves"
,,"Drain(condensation pumps)",,"drain(condensation pumps)"
,,"Flex Duct",,"flex duct"
,,"Cushion box",,"cushion box"
,,"Seisimic check",,"seisimic check"
,,"Fit Off",,"fit off"
,,"Mech-elec",,"mech-elec"
,,"Commissioning",,"commissioning"

