resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,Zone A,,,,,,,,
,,step,,,,Level 00,,,,,,,
,,step,,,,,Aprt 001,,,,,,
Aluminium Slat Style IT Screens ,,checklist,,,,,,Aluminium Slat Style IT Screens ,,,,,
Vertical Safa Slat ,,checklist,,,,,,Vertical Safa Slat ,,,,,
Aircon Unit Covers ,,checklist,,,,,,Aircon Unit Covers ,,,,,
,,step,,,,,Aprt 002,,,,,,
Aluminium Slat Style IT Screens ,,checklist,,,,,,Aluminium Slat Style IT Screens ,,,,,
Vertical Safa Slat ,,checklist,,,,,,Vertical Safa Slat ,,,,,
Aircon Unit Covers ,,checklist,,,,,,Aircon Unit Covers ,,,,,
,,step,,,,,Aprt 003,,,,,,
Aluminium Slat Style IT Screens ,,checklist,,,,,,Aluminium Slat Style IT Screens ,,,,,
Vertical Safa Slat ,,checklist,,,,,,Vertical Safa Slat ,,,,,
Aircon Unit Covers ,,checklist,,,,,,Aircon Unit Covers ,,,,,
,,step,,,,,Aprt 004 ,,,,,,
Aluminium Slat Style IT Screens ,,checklist,,,,,,Aluminium Slat Style IT Screens ,,,,,
Vertical Safa Slat ,,checklist,,,,,,Vertical Safa Slat ,,,,,
Aircon Unit Covers ,,checklist,,,,,,Aircon Unit Covers ,,,,,
,,step,,,,,Aprt 005,,,,,,
Aluminium Slat Style IT Screens ,,checklist,,,,,,Aluminium Slat Style IT Screens ,,,,,
Vertical Safa Slat ,,checklist,,,,,,Vertical Safa Slat ,,,,,
Aircon Unit Covers ,,checklist,,,,,,Aircon Unit Covers ,,,,,
,,step,,,,,Aprt 006 ,,,,,,
Aluminium Slat Style IT Screens ,,checklist,,,,,,Aluminium Slat Style IT Screens ,,,,,
Vertical Safa Slat ,,checklist,,,,,,Vertical Safa Slat ,,,,,
Aircon Unit Covers ,,checklist,,,,,,Aircon Unit Covers ,,,,,
,,step,,,,,Aprt 007 ,,,,,,
Postless Baluster Checklist ,,checklist,,,,,,Postless Baluster Checklist ,,,,,
Aircon Unit Covers ,,checklist,,,,,,Aircon Unit Covers ,,,,,
,,step,,,,,Aprt 008 ,,,,,,
Postless Baluster Checklist ,,checklist,,,,,,Postless Baluster Checklist ,,,,,
Aircon Unit Covers ,,checklist,,,,,,Aircon Unit Covers ,,,,,
,,step,,,,,Aprt 009 ,,,,,,
Aluminium Slat Style IT Screens ,,checklist,,,,,,Aluminium Slat Style IT Screens ,,,,,
Vertical Safa Slat ,,checklist,,,,,,Vertical Safa Slat ,,,,,
Aircon Unit Covers ,,checklist,,,,,,Aircon Unit Covers ,,,,,
,,step,,,,,Aprt 010 ,,,,,,
Aluminium Slat Style IT Screens ,,checklist,,,,,,Aluminium Slat Style IT Screens ,,,,,
Vertical Safa Slat ,,checklist,,,,,,Vertical Safa Slat ,,,,,
Aircon Unit Covers ,,checklist,,,,,,Aircon Unit Covers ,,,,,
,,step,,,,,Aprt 011,,,,,,
Aluminium Slat Style IT Screens ,,checklist,,,,,,Aluminium Slat Style IT Screens ,,,,,
Vertical Safa Slat ,,checklist,,,,,,Vertical Safa Slat ,,,,,
