"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"04580ef3-c649-440f-82a1-570ff7065ef4","","folder-normal","","","step","TRUE","FALSE","Ground"
"ca22566b-708b-45bb-b66e-1e64cf118f01","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.1-W1"
"b27f895f-4c5a-5df7-bb87-9142191f24ec","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.1-W1","Frame prep"
"55ecc439-87e7-5255-b4c6-0e2878896fbb","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.1-W1","Glass installed correct way around"
"a4757789-95c4-574a-b3ad-47bd8921b99a","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.1-W1","Beads installed"
"d2261774-1561-528c-981c-644072a3f0aa","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.1-W1","Wedge installed"
"60f7ab52-4789-5140-84a2-66aa577dbd0b","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.1-W1","Trade clean"
"fd7453f9-eeaa-4091-b746-5e34ade7cff9","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.1-W2"
"8b7aa77a-0fa3-5bdb-80f4-37c1eab68fc1","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.1-W2","Frame prep"
"dea504ac-b4df-526e-9428-c3d39807eea8","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.1-W2","Glass installed correct way around"
"1b3079fb-61f3-54ea-8c06-8aa28a6e8545","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.1-W2","Beads installed"
"9bfa837f-1152-575e-b07a-0d178fe899f8","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.1-W2","Wedge installed"
"bf89c755-7487-5216-878a-f6a03d191da3","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.1-W2","Trade clean"
"d311f328-709c-452b-810a-f5337389bd94","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.1-W3"
"a635cb07-f6b5-5641-9dfa-3016ab80c1ac","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.1-W3","Frame prep"
"2d48dcc6-b058-5bee-9fff-8ab4caaf06d2","","checkpoint-status","","QA - Captive Glazing:bd66ad66-d603-4c52-beed-c84870eae882","","TRUE","TRUE","Ground","G.1-W3","Glass installed correct way around"
"6d32c6c7-56eb-5c8b-b928-39910e54f68d","","checkpoint-status","","QA - Captive Glazing:53fa4fa2-e24d-45b7-8e0d-4b8fd9427bc0","","TRUE","TRUE","Ground","G.1-W3","Beads installed"
"2cfec4ed-0080-5988-af44-9bc6cbcc1929","","checkpoint-status","","QA - Captive Glazing:69a3e5c9-41c1-4024-a97d-8cff1942b8c5","","TRUE","TRUE","Ground","G.1-W3","Wedge installed"
"a63f5f61-f6f7-54e7-9231-1c7a22120c46","","checkpoint-status","","QA - Captive Glazing:a04e665a-9719-4048-a145-8df078e69d25","","TRUE","TRUE","Ground","G.1-W3","Trade clean"
"9180f112-3f29-4304-b230-ee6e54af1294","","checklist-flat","","QA - Captive Glazing","checklist-flat","FALSE","FALSE","Ground","G.2-W1"
"10a0d570-99a7-5d8c-9439-5d08811b83ca","","checkpoint-status","","QA - Captive Glazing:16d79d94-3903-4038-b569-681b1aa533c8","","TRUE","TRUE","Ground","G.2-W1","Frame prep"
