Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,,
fa16f76e-18b0-5120-b3dd-bfc309d7c649,,not-started,MALE AMENITIES Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Ground Floor,Male Ammenities,BASIN,JOINERY,
72b5064a-b1da-58e6-8029-1c8f116608e6,,not-started,DDA Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Ground Floor,Female Ammenities,BASIN,JOINERY,
9b5f6aa7-f420-5145-8e0b-e29873e3dd51,,not-started,DDA Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Ground Floor,DDA,BASIN,JOINERY,
9dbb871d-16e9-5589-ace6-29cdca787d2a,,not-started,DDA Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Ground Floor,Lobby DDA,BASIN,JOINERY,
b4a935e0-fd9d-5905-8e24-9b0acadca3af,,not-started,DDA Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Ground Floor,Fitness studio DDA,BASIN,JOINERY,
fd783eee-4f58-5528-a6cf-d11690294afa,,not-started,MALE AMENITIES Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Level 1,Male Ammenities,BASIN,JOINERY,
a861bcbe-ee9d-5c32-9438-4b724f0cacb8,,not-started,DDA Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Level 1,Female Ammenties,BASIN,JOINERY,
504f55d7-dcaf-5cec-96f4-f3de17b35dfe,,not-started,DDA Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Level 1,DDA,BASIN,JOINERY,
2942ff57-4421-5e46-81c0-3e1a5f06fb5c,,not-started,MALE AMENITIES Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Level 2,Male Ammenities,BASIN,JOINERY,
ffcee1b0-2707-5e7d-9831-6d0ba1e30ad9,,not-started,DDA Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Level 2,Female Ammenities,BASIN,JOINERY,
b092d71d-8d00-51c1-a082-686888487b13,,not-started,DDA Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Level 2,DDA,BASIN,JOINERY,
40fe0051-9142-5fee-b862-2822bf180f33,,not-started,BATHROOM 1 & 2 Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Level 3,301,Bathroom,BASIN,JOINERY
bfaa1b22-567c-5c21-bf34-a00839455f05,,not-started,BATHROOM 1 & 2 Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Level 3,302,Bathroom,BASIN,JOINERY
e3edb321-0194-5518-86d8-39834b9b606d,,not-started,BATHROOM 1 & 2 Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Level 3,302,Ensuite,BASIN,JOINERY
0bbe964a-29d5-576f-8f29-ce0bcba9131c,,not-started,BATHROOM 1 & 2 Fit Off:2d80b8d5-edc9-5d5e-bd59-0f9b4c430f9e:b49f5d37-ba94-5b44-ad5a-6b34c74b6573,checkpoint,TRUE,TRUE,Site QA,Yarra Tower,Fit Off,Level 3,303,Bathroom,BASIN,JOINERY
