"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"be8372b5-4c2e-4f8c-ae44-91ddd30c1253","","work-in-progress","","folder","TRUE","FALSE","Phase 1"
"2bc9dee9-b7dd-4ced-b01a-c4df846fbffa","","work-in-progress","","folder","TRUE","FALSE","Phase 1","Te Rapa"
"f0dd2b9f-6b61-471e-9b6d-2732d7ccbe39","","work-in-progress","","folder","TRUE","FALSE","Phase 1","Te Rapa","Haskel"
"0bd4c2db-326f-454b-8018-3f9b4e0dfcf2","","work-in-progress","","folder","TRUE","FALSE","Phase 1","Te Rapa","Haskel","Compressor"
"bc625504-e5e7-4d8d-8558-95ec7f4cb54e","","work-in-progress","","folder","TRUE","FALSE","Phase 1","Te Rapa","Haskel","Compressor","Tubing"
"25b3bee7-3e2a-4e9c-ab52-030221407fc9","","work-in-progress","ITR-CL-1-125 Cone and Thread Tubing Installation","checklist","FALSE","FALSE","Phase 1","Te Rapa","Haskel","Compressor","Tubing","BULKHEAD H2 line to MCIO Panels - ITR-CL-1-125 Cone & Thread"
"03a4bf68-0d7e-4c9f-963c-a55107f239ff","","work-in-progress","ITR-CL-1-125 Cone and Thread Tubing Installation","checklist","FALSE","FALSE","Phase 1","Te Rapa","Haskel","Compressor","Tubing","H2CI1-CS - H2MCI01-CI1 - ITR-CL-1-125 Cone & Thread "
"8dc8e6db-d1f3-4a35-9289-6444297b3498","","work-in-progress","ITR-CL-1-125 Cone and Thread Tubing Installation","checklist","FALSE","FALSE","Phase 1","Te Rapa","Haskel","Compressor","Tubing","H2CI1-CS - ITR-CL-1-125 Cone and Thread"
"34baf9a6-cf7d-45ea-a20a-98af3a1c7200","","work-in-progress","ITR-CL-1-125 Cone and Thread Tubing Installation","checklist","FALSE","FALSE","Phase 1","Te Rapa","Haskel","Compressor","Tubing","H2 C12-CS - ITR-CL-1-125 Cone and Thread"
"2dde9922-6831-4602-85d3-a51294b792c7","","work-in-progress","ITR-CL-1-125 Cone and Thread Tubing Installation","checklist","FALSE","FALSE","Phase 1","Te Rapa","Haskel","Compressor","Tubing","H2CS - MCIO1 (HGD90) - ITR-CL-1-125 Cone and Thread"
"6c4b4133-c3e2-45e7-843f-fc802fc28e98","","work-in-progress","","folder","TRUE","FALSE","Phase 1","Te Rapa","Haskel","Compressor","Electrical"
"b65d433b-e159-440e-bfcb-744d8e87ba8a","","pass","ea593e162f42ba49cc01d9d3c51c3e29ae8de338862ccbd45f23a169577f6885","checklist","FALSE","FALSE","Phase 1","Te Rapa","Haskel","Compressor","Electrical","Certificate of compliance (COC)"
"5115f0ea-c61c-4756-bbe1-c37dc27ccded","","work-in-progress","","folder","TRUE","FALSE","Phase 1","Te Rapa","Haskel","Compressor","Electrical","MAIN POWER - 01-HAS-P001 "
"d04e34ba-d226-43b6-b776-90bfc699d628","","work-in-progress","ITR-CL-1-101 Conduit, Ducting, Unistrut, Cable Tray & Ladder Installation","checklist","FALSE","FALSE","Phase 1","Te Rapa","Haskel","Compressor","Electrical","MAIN POWER - 01-HAS-P001 ","ITR-CL-1-101 Conduit, Ducting, Unistrut, Cable Tray & Ladder Installation"
"190024c5-bdb3-4008-8b4d-a6224d7c5695","","work-in-progress","ITR-CL-1-104 Cable Installation","checklist","FALSE","FALSE","Phase 1","Te Rapa","Haskel","Compressor","Electrical","MAIN POWER - 01-HAS-P001 ","ITR-CL-1-104 Cable Installation"
