"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5a789403-7a53-5ed4-962f-f9b9de5b4d65","","pass","","folder","TRUE","FALSE","Underground Ducting"
"dec54468-066c-5684-8fb1-12dce1d75c56","","pass","","folder","TRUE","FALSE","Underground Ducting","ELC"
"56714d9e-a9fb-5915-a71a-0ef22837c95a","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-01"
"83bef77b-faa0-5944-97db-24df7c9e81fd","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-02"
"e5ee9f8c-6a68-5229-b45d-8099177edc7b","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-03"
"4009dc26-b2fa-59cd-b846-e769c83d6497","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-04"
"2c659f9c-2d81-5670-860c-f36ffee393a8","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-05"
"b0ce11a2-e743-55fe-9d94-51a328566fc3","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-06"
"efef931d-6aa2-5b4d-93e7-70b88032dd7c","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-07"
"696c1c45-0cc5-5c09-ba94-7ef806662ee6","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-08"
"67c2a063-25f5-5980-9ab4-de956448ced8","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-09"
"aa56e469-a58f-5520-88a3-fd5f26be13ea","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-10"
"1e7d7190-6686-5bd5-b60e-de1623f74ecf","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-11"
"7a4a83a3-5185-5fb1-9dec-63d02754d43b","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-12"
"1607cd68-f384-5df3-bdfd-68ce4778dd62","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","ELC","ELC-13"
"e593a932-7654-540c-bdba-e6a2f0bb5a0d","","pass","","folder","TRUE","FALSE","Underground Ducting","INST"
"27e0284d-813f-5705-aa9c-7d3a49a75596","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","INST","INST-01"
"890f09a6-9703-5001-9eb6-9cf921226a11","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","INST","INST-02"
"2f941e57-ce57-5148-bcbc-10c3005a8fb9","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","INST","INST-03"
"f2cef5a4-66b1-529d-8dc4-4da97b31ec8c","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","INST","INST-04"
"a6b55b6d-61f1-54d5-800f-fee5507472a7","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","INST","INST-05"
"6eb8da55-4364-5070-a2f2-983528abdf91","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","INST","INST-06"
"ea174b5c-4d2b-5d16-9e89-e368ec527147","","pass","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Underground Ducting","INST","INST-07"
