"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"07edb91d-95be-4c93-8295-9696dc4c83fb","","work-in-progress","b58b883b674da0c362fb47dfb28b449971b08516352a8034f8a8366f1313215d","checklist","FALSE","FALSE","HSE","Daily Report","Entec Daily Report 8-3-2024"
"3943d6dd-2a65-467e-9b92-bbfa8ee4b31b","","pass","b58b883b674da0c362fb47dfb28b449971b08516352a8034f8a8366f1313215d","checklist","FALSE","FALSE","HSE","Daily Report","Entec Daily Report - 10-4-2024"
"664e82cc-7b0c-457c-a604-6b9fe73a2b5e","","not-started","b58b883b674da0c362fb47dfb28b449971b08516352a8034f8a8366f1313215d","checklist","FALSE","FALSE","HSE","Daily Report","Entec Daily Report"
"cf97d415-98d2-435a-a8dc-74e0124016b9","","not-started","MSDS","checklist","FALSE","FALSE","HSE","MSDS"
"aff3d1a7-402f-40d1-a019-25041fe611d8","","not-started","50850503acc6336cf57ac0ce65b7d920cf5e1f39793317bad13a671bc3eee429","checklist","FALSE","FALSE","HSE","Safe/Unsafe Observation Card"
"86f76850-6a96-4928-9685-554ea2b6e69d","","work-in-progress","","folder","TRUE","FALSE","HSE","JHA - 11kv Cable"
"b3bca0f6-7217-437e-92a3-43379d0b97a7","","work-in-progress","261c2ff5b63a0008c303e53f659185a4fbaaf032efb2eab0b481575ffdd20d6e","checklist","FALSE","FALSE","HSE","JHA - 11kv Cable","JHA - Job Hazard Analysis"
"2bf5c925-8c51-47e9-abd6-932149276ded","","no-status-started","de68f0047a050e4f12585e335dac976148651082f8bad3e7743feda46646fd5d","checklist","FALSE","FALSE","HSE","JHA - 11kv Cable","JHA - Job Step 1 - Travel to site and Movement around site "
"b02d4944-c7e0-4fb5-894a-9fc2735ba195","","no-status-started","de68f0047a050e4f12585e335dac976148651082f8bad3e7743feda46646fd5d","checklist","FALSE","FALSE","HSE","JHA - 11kv Cable","JHA - Job Step 2 - Cable installation "
"cc0dee87-1750-43f6-aa63-8d24418e163a","","no-status-started","de68f0047a050e4f12585e335dac976148651082f8bad3e7743feda46646fd5d","checklist","FALSE","FALSE","HSE","JHA - 11kv Cable","JHA - Job Step 3 - Cable Terminations "
"14ba8a34-1040-48a5-8ac5-a73667f58379","","no-status-started","de68f0047a050e4f12585e335dac976148651082f8bad3e7743feda46646fd5d","checklist","FALSE","FALSE","HSE","JHA - 11kv Cable","JHA - Job Step 4 - Testing & Livening  "
"d16d34e5-6f4f-4134-98c7-206dde261e63","","work-in-progress","","folder","TRUE","FALSE","HSE","JHA - FIbre & Coms Cable pull"
"a8eec8fc-c33c-49d2-b8a6-ca3235ca9f74","","work-in-progress","261c2ff5b63a0008c303e53f659185a4fbaaf032efb2eab0b481575ffdd20d6e","checklist","FALSE","FALSE","HSE","JHA - FIbre & Coms Cable pull","JHA - Job Hazard Analysis"
"3d23627e-8b65-4998-b5a7-fa0d72b64988","","no-status-started","de68f0047a050e4f12585e335dac976148651082f8bad3e7743feda46646fd5d","checklist","FALSE","FALSE","HSE","JHA - FIbre & Coms Cable pull","JHA - Job Step 1 - Travel to site and Movement around site "
"4728bbf9-b005-46c3-b137-90f1a6beec3d","","no-status-started","de68f0047a050e4f12585e335dac976148651082f8bad3e7743feda46646fd5d","checklist","FALSE","FALSE","HSE","JHA - FIbre & Coms Cable pull","JHA - Job Step 2 - Fibre & Comms Cable installation "
"8dd49e93-3286-4daa-9ec8-583fd8fedfad","","no-status-started","de68f0047a050e4f12585e335dac976148651082f8bad3e7743feda46646fd5d","checklist","FALSE","FALSE","HSE","JHA - FIbre & Coms Cable pull","JHA - Job Step 3 - Fibre & Comms Cable terminations"
"c25f2db5-dfeb-43d7-9db1-b5d52b66809b","","no-status-started","de68f0047a050e4f12585e335dac976148651082f8bad3e7743feda46646fd5d","checklist","FALSE","FALSE","HSE","JHA - FIbre & Coms Cable pull","JHA - Job Step 4 - Testing & Livening "
