"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"525726c7-3565-4a87-a964-9ea5b8566b7c","","work-in-progress","","folder","TRUE","FALSE","Checklists - Electrical"
"c6d90e6a-3b2f-43a9-b088-d5d9fd265484","","not-started","ea593e162f42ba49cc01d9d3c51c3e29ae8de338862ccbd45f23a169577f6885","checklist","FALSE","FALSE","Checklists - Electrical","Certificate of compliance (COC)"
"570d8a14-e6b6-40b5-a406-c2f5cb27303f","","no-status-not-started","98cafac5aa0b9c5dd5e0aab058e767636665f01df624b19c4fbc30b45980bb0d","checklist","FALSE","FALSE","Checklists - Electrical","As-Built Drawings"
"9a33ca6b-6039-48bd-b9c4-5bf81920c878","","not-started","fe30916a16ebe554f91bb1c99b8231132b9010eb41ff1c9fd61f74ba278a6670","checklist","FALSE","FALSE","Checklists - Electrical","Cable Test Record"
"ff34b765-e09f-40ab-8458-c7140f93e5f2","","not-started","c16d872f2dc75a150e390980c203c6ff730facf43100c17d18af89ce4fbd2046","checklist","FALSE","FALSE","Checklists - Electrical","ITR-E-01 General Electrical Equipment"
"506c6174-95f2-46c7-b293-0160db463809","","not-started","52a7d968b7754fa88aeabdea2f59c86a4e08ab8a8ebdef3f5d73a81b417ad16b","checklist","FALSE","FALSE","Checklists - Electrical","ITR-E-02 Conduit, Ducting, Unistrut, Cable Tray & Ladder Installation"
"3c7d8c50-2366-414e-8e2d-c55df8a298c8","","not-started","1b1fcd12b08a7de908b11b53afbb3dedb3ae83d82c0d1012ffd8cab2c833f8ed","checklist","FALSE","FALSE","Checklists - Electrical","ITR-E-03 Distribution Board Installation"
"caa29b5d-a8c7-481d-9ca7-53f5ccf7efdb","","not-started","fe30916a16ebe554f91bb1c99b8231132b9010eb41ff1c9fd61f74ba278a6670","checklist","FALSE","FALSE","Checklists - Electrical","ITR-E-04 Schedule of Test Results DB"
"afd1c6f6-fd81-4925-8257-35469ee5abc8","","not-started","eb3a1289ef46f67c36e1751237c72d888fc30c1b7e7161ddad75459c686efff5","checklist","FALSE","FALSE","Checklists - Electrical","ITR-E-05 Low Voltage Cables"
"50d2db06-8ca2-49e9-99b5-7a569505e21a","","not-started","2d67c30dfa242619d830ad2101fd0e329bad3267fc2ca64e2560ec85e03c4807","checklist","FALSE","FALSE","Checklists - Electrical","ITR-E-06 Control Panel"
"40bbd00e-3cb4-4848-ad24-ededf1e83b42","","not-started","d18c3b412b897e5070e164fe6ffe8bbf675156314f6a8f2e1eabc27df5b641e3","checklist","FALSE","FALSE","Checklists - Electrical","ITR-E-07 Junction Box"
"45b213e4-cedc-421d-9105-90d88cdb49ca","","not-started","3211df9474669dab94db48041db41838cb000c4a40d5589e818f01b0ae8a6ec3","checklist","FALSE","FALSE","Checklists - Electrical","ITR-E-08 Heat Tracing Circuit"
"87a1f5bd-03b6-431c-b23b-fa1901905849","","not-started","a795f4103ca9a8a25514981033ebe6fed51b470062dcf736f55c4f53bc909fb3","checklist","FALSE","FALSE","Checklists - Electrical","ITR-E-09 Electrical Switch Rooms"
