"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2b4741ec-7efb-4bce-85d9-790d1c6b5dea","","pass","","folder","TRUE","FALSE","OEC21"
"77b27537-680d-4d77-b67e-a5535d1139f4","","pass","","folder","TRUE","FALSE","OEC21","OEC21 Earth Grid"
"0c6f9842-35b8-4640-a0d4-e0b326bbe97b","","pass","","folder","TRUE","FALSE","OEC21","OEC21 Earth Grid","Earthing"
"37680405-6a17-4087-957e-4931abdc3a0b","","pass","","folder","TRUE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds"
"134ba6ee-f6a6-442a-90ed-a2e39b5bdce6","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #1"
"dfb8f1f2-2cfa-4e0a-847d-cbb93fddb497","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #2"
"d9e3f204-6709-4ad3-8bc1-b254e8cfa587","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #3"
"af2ac04d-e270-44f0-8460-c304569d997c","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #4"
"7dac0f6b-9de8-4e6c-a9a6-6107dd6fecd0","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #5"
"dda3dca5-14eb-41bb-84b9-09750e215666","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #6"
"5123153c-8ecb-42cd-b831-f1175b1dbbc1","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #7"
"02fced59-3259-4f6c-9b55-4545c21cd9a1","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #8"
"f9a1ad5b-50a9-4c2a-ad0a-8a1188d157e4","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #9"
"b56597d8-0f57-4215-bc08-7839ceb3e9e2","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #10"
"6ad1c523-64ca-430a-8237-dcabf03c079e","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #11"
"03ab682a-9e8f-4c90-804a-c2d70436058f","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #12"
"a8eabaf7-fb6e-4e28-8b83-f2d3b3f358b7","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #13"
"eb6652cf-62ca-4df7-a454-443916b058ea","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #14"
"2ded86c1-012e-46a1-ab32-ba41f7ff06fa","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #15"
"2ccec6a3-552e-41b4-a4e2-e8083b784610","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #16"
"6a5572bf-34a3-438c-92cf-605969a0902f","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #17"
"35685266-3a33-4480-9242-756b63cb2536","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #18"
"f2c923b1-2e86-4374-91dc-262a9986cf53","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #1B"
"2cc5a02d-e814-41ff-b1e1-a3c4492b0da1","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #7B"
"d5ed3feb-c81f-4d68-85c5-3303d7ad41b8","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #15B"
"bfdde1d5-0730-401c-8f5d-c6d9734ae843","","pass","Cadwelds","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","Earthing","Cadwelds","Cadweld #18B"
"852c1faf-d57d-4371-9827-8520a0967fb8","","no-status-not-started","","folder","TRUE","FALSE","OEC21","OEC21 Earth Grid","Certification"
"cbb031fa-4427-4878-b11e-10d37626db91","","no-status-not-started","","folder","TRUE","FALSE","OEC21","OEC21 Earth Grid","Certification","COC (checklist)"
"73900758-7df8-4a02-8192-2c509d0d210d","","pass","Certificate of compliance","checklist","FALSE","FALSE","OEC21","OEC21 Earth Grid","As Built Drawing "
